type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD(cs),0.001114951499609767,0.001114951499609767,0.010905160334681132,10,8959,,8959
1,1,SIM(cs),0.0003344854498829301,0.0003344854498829301,0.039329036390568076,3,8966,,8966
1,1,MP(cs),0.0004459805998439068,0.0004459805998439068,8.006725649545619e-06,4,8965,,8965
1,1,RND(cs),0.0,0.0,0.06932223067376596,0,8969,,8969
1,3,PureSVD(cs),0.0016724272494146504,0.0013565243245252164,0.025493414468153248,15,26892,,8954
1,3,SIM(cs),0.001114951499609767,0.0007061359497528524,0.12146202810360703,10,26897,,8959
1,3,MP(cs),0.0008919611996878136,0.000631805849778868,2.4020176948636855e-05,8,26899,,8961
1,3,RND(cs),0.0,0.0,0.1936987069138076,0,26907,,8969
1,10,PureSVD(cs),0.003790835098673208,0.0017033538802966835,0.06556707634412907,34,89656,,8935
1,10,SIM(cs),0.0053517671981268816,0.001315465793111016,0.32002882421233836,48,89630,,8921
1,10,MP(cs),0.0027873787490244172,0.0009186403962856189,8.006725649545619e-05,25,89665,,8944
1,10,RND(cs),0.0001114951499609767,1.1149514996097672e-05,0.5125345290043637,1,89689,,8968
1,20,PureSVD(cs),0.004794291448321998,0.0017710039730979073,0.11434404900116098,43,179337,,8926
1,20,SIM(cs),0.01081502954621474,0.0016811691158909493,0.4566796108731334,97,179201,,8872
1,20,MP(cs),0.006020738097892742,0.00113123083284841,0.00016013451299091237,54,179326,,8915
1,20,RND(cs),0.0001114951499609767,1.1149514996097672e-05,0.7613115016613956,1,179379,,8968
1,30,PureSVD(cs),0.006243728397814695,0.0018275574425923031,0.1570839505184355,56,269014,,8913
1,30,SIM(cs),0.014494369494926971,0.0018238613089831292,0.5339044797630009,130,268722,,8839
1,30,MP(cs),0.007916155647229346,0.0012089355300153128,0.00024020176948636856,71,268999,,8898
1,30,RND(cs),0.0001114951499609767,1.1149514996097672e-05,0.8839745386124345,1,269069,,8968
2,1,PureSVD(cs),0.0005575379125780553,0.0005575379125780553,0.010889146883382042,5,8963,,8963
2,1,SIM(cs),0.00044603033006244426,0.00044603033006244426,0.039409103647063536,4,8964,,8964
2,1,MP(cs),0.0005575379125780553,0.0005575379125780553,8.006725649545619e-06,5,8963,,8963
2,1,RND(cs),0.0,0.0,0.06931422394811641,0,8968,,8968
2,3,PureSVD(cs),0.0013380909901873326,0.0009292298542967589,0.025589495175947795,12,26892,,8956
2,3,SIM(cs),0.0008920606601248885,0.000631876300921796,0.12118979943152249,8,26896,,8960
2,3,MP(cs),0.0013380909901873326,0.0009106452572108237,2.4020176948636855e-05,12,26892,,8956
2,3,RND(cs),0.0,0.0,0.19367468673685898,0,26904,,8968
2,10,PureSVD(cs),0.0023416592328278324,0.001116314798295173,0.06548700908763361,21,89659,,8947
2,10,SIM(cs),0.00423728813559322,0.0011444129391274798,0.3206453420873534,38,89625,,8930
2,10,MP(cs),0.0031222123104371097,0.0011902549452727864,8.006725649545619e-05,28,89652,,8940
2,10,RND(cs),0.0,0.0,0.512510508827415,0,89680,,8968
2,20,PureSVD(cs),0.003233719892952721,0.0011811355565455109,0.11336722847191641,29,179331,,8939
2,20,SIM(cs),0.008920606601248885,0.0014442517277200554,0.4561671804315625,80,179184,,8888
2,20,MP(cs),0.005463871543264942,0.0013413601310402596,0.00016013451299091237,49,179311,,8919
2,20,RND(cs),0.0,0.0,0.7612714680331478,0,179360,,8968
2,30,PureSVD(cs),0.003902765388046387,0.0012082562658017359,0.15629929140478002,35,269005,,8933
2,30,SIM(cs),0.013046387154326494,0.0016084413099646043,0.5328956323311582,117,268661,,8851
2,30,MP(cs),0.006467439785905442,0.001380137271543076,0.00024020176948636856,58,268982,,8910
2,30,RND(cs),0.0,0.0,0.8839264982585372,0,269040,,8968
3,1,PureSVD(cs),0.0004459805998439068,0.0004459805998439068,0.011313503342807958,4,8965,,8965
3,1,SIM(cs),0.0002229902999219534,0.0002229902999219534,0.03908883462108171,2,8967,,8967
3,1,MP(cs),0.0003344854498829301,0.0003344854498829301,8.006725649545619e-06,3,8966,,8966
3,1,RND(cs),0.0,0.0,0.06932223067376596,0,8969,,8969
3,3,PureSVD(cs),0.0010034563496487902,0.0006689708997658602,0.025917770927579166,9,26898,,8960
3,3,SIM(cs),0.0013379417995317204,0.0006875534247593563,0.1209656111133352,12,26895,,8957
3,3,MP(cs),0.0008919611996878136,0.0005946407997918758,2.4020176948636855e-05,8,26899,,8961
3,3,RND(cs),0.0,0.0,0.1936987069138076,0,26907,,8969
3,10,PureSVD(cs),0.002229902999219534,0.0009007657770061606,0.06531086112334361,20,89670,,8949
3,10,SIM(cs),0.004794291448321998,0.001202820296364727,0.3210136514672325,43,89627,,8926
3,10,MP(cs),0.0027873787490244172,0.0008840415045120141,8.006725649545619e-05,25,89665,,8944
3,10,RND(cs),0.0,0.0,0.5125345290043637,0,89690,,8969
3,20,PureSVD(cs),0.0026758835990634408,0.0009314702021598878,0.1145602305936987,24,179356,,8945
3,20,SIM(cs),0.00914260229680009,0.0014978343013125357,0.45740021618159254,82,179173,,8887
3,20,MP(cs),0.005240272048165905,0.0010575498642065736,0.00016013451299091237,47,179333,,8922
3,20,RND(cs),0.0001114951499609767,5.574757498048836e-06,0.7613115016613956,1,179379,,8968
3,30,PureSVD(cs),0.004125320548556138,0.0009907184612947125,0.15874934945354097,37,269033,,8932
3,30,SIM(cs),0.01282194224551232,0.0016454850009143757,0.5332479282597382,115,268671,,8854
3,30,MP(cs),0.007024194447541532,0.0011313618874151771,0.00024020176948636856,63,269007,,8906
3,30,RND(cs),0.0003344854498829301,1.3845002138011394e-05,0.8839745386124345,3,269067,,8966
4,1,PureSVD(cs),0.00022301516503122213,0.00022301516503122213,0.010833099803835221,2,8966,,8966
4,1,SIM(cs),0.0006690454950936663,0.0006690454950936664,0.03884863285159534,6,8962,,8962
4,1,MP(cs),0.00022301516503122213,0.00022301516503122213,8.006725649545619e-06,2,8966,,8966
