rank,PureSVD(cs)
1,0.0006037550858601144
5,0.0005125679810706013
10,0.00044239682716658974
15,0.00045292692466290417
20,0.00017777282243777953
30,0.0003010369048946371
50,0.0004795618771535819
60,0.0004897822659000047
75,0.0005472553610584607
100,0.000636451481027242
125,0.0005689349735508728
150,0.0004063378798577818
200,0.0008417883822053741
250,0.0005616346958748564
300,0.0006247710367456159
350,0.0010297815933895764
400,0.0011236233446067318
500,0.0014524897928844857
750,0.0013244473468578721
1000,0.0011776011553021252
1250,0.001392406295405515
1500,0.001198528617973372
1750,0.0013589135063100945
2000,0.001356347348096707
2500,0.0017033538802966835
3000,0.001646411714423756
