type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD,0.008687297329756996,0.008687297329756996,0.039002742903017196,217,24762,,24762
1,1,SIM,0.0012010088474318427,0.0012010088474318427,0.23252235577459135,30,24949,,24949
1,1,MP,0.0032427238880659752,0.0032427238880659757,6.690007359008096e-05,81,24898,,24898
1,1,RND,4.003362824772809e-05,4.003362824772809e-05,0.42787057065762774,1,24978,,24978
1,3,PureSVD,0.015653148644861684,0.011756542162082818,0.060210066231072855,391,74546,,24588
1,3,SIM,0.002241883181872773,0.0016146896726583664,0.3849653234618558,56,74881,,24923
1,3,MP,0.008687297329756996,0.0055913634119326905,0.00015610017171018887,217,74720,,24762
1,3,RND,4.003362824772809e-05,4.003362824772809e-05,0.8138839952723947,1,74936,,24978
1,10,PureSVD,0.02586172384803235,0.013485200584363883,0.10012711013982116,646,249144,,24333
1,10,SIM,0.006405380519636495,0.0022931643532948633,0.6251588876747765,160,249630,,24819
1,10,MP,0.022979302614195923,0.007877553653005031,0.0003568003924804317,574,249216,,24405
1,10,RND,0.00016013451299091237,6.138489664651641e-05,0.9959636955600651,4,249786,,24975
1,20,PureSVD,0.03394851675407342,0.014049490295233317,0.1389291528220681,848,498732,,24131
1,20,SIM,0.011009247768125225,0.0026016255382824227,0.8069709876680864,275,499305,,24704
1,20,MP,0.038832619400296246,0.008956588757431064,0.0006467007113707825,970,498610,,24009
1,20,RND,0.0005204371672204652,8.569376620892836e-05,0.9999776999754699,13,499567,,24966
1,30,PureSVD,0.039793426478241724,0.014281908904398136,0.17061748767923646,994,748376,,23985
1,30,SIM,0.0142519716561912,0.002728919228354754,0.8881430769573847,356,749014,,24623
1,30,MP,0.04848072380799872,0.009337966099803167,0.0009143010057311063,1211,748159,,23768
1,30,RND,0.0006805716802113776,9.259020480364567e-05,1.0,17,749353,,24962
2,1,PureSVD,0.006725649545618319,0.00672564954561832,0.039604843565327924,168,24811,,24811
2,1,SIM,0.0010008407061932022,0.0010008407061932022,0.23185335503869053,25,24954,,24954
2,1,MP,0.0032827575163137035,0.003282757516313704,8.920009812010793e-05,82,24897,,24897
2,1,RND,0.0,0.0,0.4278259706085677,0,24979,,24979
2,3,PureSVD,0.013571399975979823,0.009701482578699442,0.06056686662355329,339,74598,,24640
2,3,SIM,0.0023219504383682294,0.0015546392302867743,0.384340922775015,58,74879,,24921
2,3,MP,0.009327835381720646,0.005784859281796709,0.0001338001471801619,233,74704,,24746
2,3,RND,4.003362824772809e-05,1.3344542749242698e-05,0.8137724951497447,1,74936,,24978
2,10,PureSVD,0.023459706153168662,0.011429759728330529,0.09936890930580024,586,249204,,24393
2,10,SIM,0.006565515032627407,0.0022047567575811306,0.6208326829159512,164,249626,,24815
2,10,MP,0.022178630049241362,0.007849831954079522,0.0003568003924804317,554,249236,,24425
2,10,RND,8.006725649545619e-05,1.7792723665656928e-05,0.9959636955600651,2,249788,,24977
2,20,PureSVD,0.03138636454621883,0.011979790662531223,0.13881765269941798,784,498796,,24195
2,20,SIM,0.01132951679410705,0.002535530531131976,0.8052984858283344,283,499297,,24696
2,20,MP,0.03647063533368029,0.008838412801438338,0.0006913007604308365,911,498669,,24068
2,20,RND,0.00040033628247728093,4.047721846462262e-05,0.9999776999754699,10,499570,,24969
2,30,PureSVD,0.03795187957884623,0.01224581724526744,0.1704167874584662,948,748422,,24031
2,30,SIM,0.01469234156691621,0.0026709637418989916,0.8881876770064447,367,749003,,24612
2,30,MP,0.0465991432803555,0.009248884727187295,0.0009366010302611332,1164,748206,,23815
2,30,RND,0.0007206053084591056,5.3305321915535887e-05,1.0,18,749352,,24961
3,1,PureSVD,0.008407061932022898,0.0084070619320229,0.03922574314831746,210,24769,,24769
3,1,SIM,0.0010809079626886585,0.0010809079626886585,0.23209865530852083,27,24952,,24952
3,1,MP,0.004043396453020537,0.004043396453020537,8.920009812010793e-05,101,24878,,24878
3,1,RND,0.0,0.0,0.4278036705840376,0,24979,,24979
3,3,PureSVD,0.014372072540934385,0.010962541868502877,0.06052226657449323,359,74578,,24620
3,3,SIM,0.0024420513231114137,0.00168141238640458,0.38467542314296543,61,74876,,24918
3,3,MP,0.010168541574922935,0.0066655991032467275,0.0001338001471801619,254,74683,,24725
3,3,RND,0.0,0.0,0.8137278951006847,0,74937,,24979
3,10,PureSVD,0.02518115216782097,0.012813525265985332,0.09932430925674018,629,249161,,24350
3,10,SIM,0.006325313263141038,0.002298105011384166,0.6194277813705595,158,249632,,24821
3,10,MP,0.02237879819048,0.008593138871572757,0.0003568003924804317,559,249231,,24420
3,10,RND,4.003362824772809e-05,5.004203530966012e-06,0.9959413955355351,1,249789,,24978
3,20,PureSVD,0.033508146843348414,0.013382548961611845,0.13921905314095845,837,498743,,24142
3,20,SIM,0.010608911485647944,0.0025965536006059835,0.8050754855830341,265,499315,,24714
3,20,MP,0.0369110052444053,0.00959569700909795,0.0006244006868407555,922,498658,,24057
3,20,RND,0.00020016814123864046,1.6251746705327715e-05,0.9999776999754699,5,499575,,24974
3,30,PureSVD,0.03927298931102126,0.01361280376897379,0.16992618691880562,981,748389,,23998
3,30,SIM,0.014652307938668481,0.002757973609014103,0.8931159824275807,366,749004,,24613
3,30,MP,0.047279714960566877,0.010007690145537942,0.0008920009812010794,1181,748189,,23798
3,30,RND,0.0002802353977340966,1.958788239263839e-05,1.0,7,749363,,24972
4,1,PureSVD,0.007526322110572881,0.007526322110572881,0.03922574314831746,188,24791,,24791
4,1,SIM,0.0009608070779454742,0.0009608070779454741,0.23058225364047902,24,24955,,24955
4,1,MP,0.0037231274270387127,0.003723127427038713,8.920009812010793e-05,93,24886,,24886
4,1,RND,8.006725649545619e-05,8.006725649545619e-05,0.4278482706330977,2,24977,,24977
4,3,PureSVD,0.013451299091236638,0.010108491132551344,0.06012086613295275,336,74601,,24643
4,3,SIM,0.0027222867208455104,0.001708101471903065,0.38220012042013246,68,74869,,24911
