type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM(cs),0.0010034563496487902,0.0010034563496487904,0.014556227230873934,9,8960,,8960
1,3,FM(cs),0.0024528932991414874,0.0016538447244211546,0.03897674046198807,22,26885,,8947
1,10,FM(cs),0.007024194447541532,0.002382500924701839,0.1104687937867809,63,89627,,8906
1,20,FM(cs),0.011372505296019624,0.002685391613526258,0.1953320789463149,102,179278,,8867
1,30,FM(cs),0.01382539859516111,0.002787286264302673,0.266872172625005,124,268946,,8845
2,1,FM(cs),0.0005575379125780553,0.0005575379125780553,0.014203931302293927,5,8963,,8963
2,3,FM(cs),0.001784121320249777,0.001059322033898305,0.03832819568437487,16,26888,,8952
2,10,FM(cs),0.0044603033006244425,0.0015150429038698443,0.11026061891989271,40,89640,,8928
2,20,FM(cs),0.008140053523639607,0.0017549223977118276,0.1953320789463149,73,179287,,8895
2,30,FM(cs),0.010035682426404995,0.0018303023133976715,0.26645582289122866,90,268950,,8878
3,1,FM(cs),0.001449436949492697,0.001449436949492697,0.014924536610753032,13,8956,,8956
3,3,FM(cs),0.0026758835990634408,0.0019697476493105884,0.03903278754153489,24,26883,,8945
3,10,FM(cs),0.005240272048165905,0.0023840494684512973,0.11085311661795909,47,89643,,8922
3,20,FM(cs),0.009588582896643995,0.002673283269942834,0.19572440850314263,86,179294,,8883
3,30,FM(cs),0.012264466495707437,0.0027822359097894093,0.26766483846431,110,268960,,8859
4,1,FM(cs),0.0007805530776092774,0.0007805530776092775,0.014476159974378478,7,8961,,8961
4,3,FM(cs),0.0023416592328278324,0.001449598572702944,0.03824812842787942,21,26883,,8947
4,10,FM(cs),0.004906333630686887,0.0018397866134262208,0.10880339485167541,44,89636,,8924
4,20,FM(cs),0.008586083853702051,0.0020843835465543404,0.19230553665078667,77,179283,,8891
4,30,FM(cs),0.011150758251561105,0.0021837029588691837,0.2628127627206854,100,268940,,8868
5,1,FM(cs),0.0006689708997658602,0.0006689708997658602,0.014572240682173025,6,8963,,8963
5,3,FM(cs),0.0016724272494146504,0.0011335340246032633,0.0393850834701149,15,26892,,8954
5,10,FM(cs),0.004905786598282975,0.0016438455562103685,0.11176588334200728,44,89646,,8925
5,20,FM(cs),0.008696621696956182,0.0018927395997736668,0.19665318867848994,78,179302,,8891
5,30,FM(cs),0.012041476195785484,0.0020252664032015563,0.2684655110292646,108,268962,,8861
