regularization,linear_regularization,rank,adagrad_momentum_weighting,FM(cs)
1e-09,3e-10,40,0.99,0.000671448569764993
1e-08,1e-10,40,0.9,0.000852141503273179
3e-08,3e-08,40,0.99,0.0005746424633703037
1e-08,3e-07,40,0.99,0.0007157369209994922
3e-09,1e-06,40,0.95,0.00043018545359943517
3e-06,3e-08,40,0.95,0.0022312745665404826
3e-09,1e-10,40,0.9,0.0010546467815951595
3e-08,1e-06,40,0.9,0.0006934378910072968
1e-09,1e-07,40,0.9,0.0008493541245241547
3e-09,3e-06,40,0.95,0.00020918613849821343
1e-10,3e-10,40,0.9,0.0014184218303964096
1e-07,3e-06,40,0.95,0.0008280727089958888
1e-10,1e-10,40,0.9,0.0007974115427566203
1e-06,3e-06,40,0.9,0.0021048249083704543
3e-06,1e-09,40,0.99,0.0015619497139176034
3e-08,1e-09,40,0.9,0.0006923317883291124
1e-07,3e-09,40,0.9,0.0007463538431316333
1e-07,3e-07,40,0.95,0.001295644433117953
1e-07,1e-10,40,0.99,0.0007421948970616605
1e-10,3e-06,40,0.9,0.0007369298483135032
3e-07,3e-06,40,0.95,0.0007211347020690315
1e-06,1e-09,40,0.99,0.0021122136742607253
3e-07,1e-06,40,0.95,0.0006578213847697625
1e-09,1e-08,40,0.99,0.0011664516403060276
3e-08,3e-10,40,0.99,0.0008701046107668922
1e-08,1e-07,40,0.9,0.001067566060876352
1e-09,3e-06,40,0.9,0.0002400242811659915
1e-07,1e-09,40,0.95,0.0008688657757673255
1e-07,1e-09,40,0.99,0.0011806097545867865
1e-10,1e-07,40,0.99,0.0007941817229363221
