rank,FM(cs)
1,0.0019803219909140302
5,0.0025367358821478565
15,0.002369935598277666
30,0.002014080244652215
50,0.0016264133780021842
75,0.0002477669999132816
100,0.0027141547517286176
150,0.0019867373864474996
200,0.0023400708259666892
250,0.0007223292929614705
300,0.002491651136985065
400,0.002018150702507933
500,0.0025913331103430337
750,0.0023848016182724625
1000,0.002416391910761406
1250,0.0026743792994211105
1500,0.002142476643535848
1750,0.002324010215079454
2000,0.0021536261585319454
2500,0.0025919082837356894
3000,0.0019811626289494505
