type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM,0.006125145121902398,0.006125145121902398,0.029324532256985482,153,24826,,24826
1,3,FM,0.01509267784939349,0.009948356619560431,0.06765827442410187,377,74560,,24602
1,10,FM,0.0369110052444053,0.013563853954782336,0.1798273978101376,922,248868,,24057
1,20,FM,0.05684775211177389,0.014911795747120019,0.3029681332649466,1420,498160,,23559
1,30,FM,0.07250090075663558,0.015540315431134176,0.397542537296791,1811,747559,,23168
2,1,FM,0.007206053084591057,0.007206053084591057,0.03420823762906139,180,24799,,24799
2,3,FM,0.01621361944032988,0.011069298210496818,0.07613228374551212,405,74532,,24574
2,10,FM,0.0376316105528644,0.014637136464471427,0.19151261066387174,940,248850,,24039
2,20,FM,0.05792866007446255,0.01603607736080995,0.3158575474433022,1447,498133,,23532
2,30,FM,0.07366187597581969,0.016661125515871174,0.4105880516468568,1840,747530,,23139
3,1,FM,0.006885784058609232,0.006885784058609232,0.03222353544588899,172,24807,,24807
3,3,FM,0.016373753953320788,0.010962541868502877,0.07354548090002899,409,74528,,24570
3,10,FM,0.036630769846671206,0.01429801032867609,0.18839060722966794,915,248875,,24064
3,20,FM,0.05664758397053525,0.01562426753346104,0.3112191423410566,1415,498165,,23564
3,30,FM,0.07358180871932424,0.01630012635047837,0.4060165466182013,1838,747532,,23141
4,1,FM,0.006805716802113775,0.006805716802113775,0.032647235911959505,170,24809,,24809
4,3,FM,0.015653148644861684,0.010615583757022566,0.07448208193029013,391,74546,,24588
4,10,FM,0.037871812322350776,0.014258755132088732,0.18970630867693955,946,248844,,24033
4,20,FM,0.05788862644621482,0.015627514059743573,0.3132930446223491,1446,498134,,23533
4,30,FM,0.07486288482325153,0.01630897314860671,0.40780054858060344,1870,747500,,23109
5,1,FM,0.006725649545618319,0.006725649545618319,0.03150993466092813,168,24811,,24811
5,3,FM,0.016133552183834422,0.010749029184514994,0.07234127957540754,403,74534,,24576
5,10,FM,0.03727130789863485,0.01430452373644655,0.18937180830898914,931,248859,,24048
5,20,FM,0.05800872733095801,0.015716686926501626,0.3151885467074014,1449,498131,,23530
5,30,FM,0.07354177509107651,0.016336389196792787,0.4088263497089847,1837,747533,,23142
