regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
3e-07,1e-08,40,0.99,43.652315
1e-06,1e-08,40,0.99,46.403045
3e-07,1e-08,40,0.95,41.339019
3e-10,3e-09,40,0.95,41.866612
1e-10,1e-08,40,0.95,43.741187
1e-06,3e-09,40,0.9,46.768372
1e-06,3e-09,40,0.99,44.894211
3e-08,1e-06,40,0.99,44.419788
3e-06,1e-07,40,0.9,46.259918
1e-07,3e-06,40,0.99,43.571758
3e-07,1e-10,40,0.95,41.940952
1e-08,1e-08,40,0.9,46.614999
1e-10,1e-10,40,0.95,43.747821
3e-07,3e-09,40,0.95,44.50881
1e-10,1e-07,40,0.95,42.833991
3e-10,3e-08,40,0.9,45.663683
1e-09,1e-09,40,0.99,40.035737
3e-09,3e-09,40,0.95,41.538094
1e-10,3e-06,40,0.95,38.76904
3e-08,1e-07,40,0.9,40.414099
1e-06,3e-08,40,0.99,47.937809
3e-10,3e-10,40,0.99,46.359544
3e-08,3e-10,40,0.99,38.915365
3e-09,1e-07,40,0.95,41.25545
3e-08,3e-09,40,0.95,37.522343
1e-09,1e-10,40,0.95,44.060458
3e-07,1e-09,40,0.95,43.295692
1e-10,1e-09,40,0.99,39.30147
3e-06,3e-07,40,0.99,39.792919
1e-10,1e-07,40,0.99,39.41675
