regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
3e-07,1e-08,40,0.99,0.009895629789340507
1e-06,1e-08,40,0.99,0.013041510424311977
3e-07,1e-08,40,0.95,0.009788110902046608
3e-10,3e-09,40,0.95,0.004703204660168511
1e-10,1e-08,40,0.95,0.0038581932632935473
1e-06,3e-09,40,0.9,0.01206391146340704
1e-06,3e-09,40,0.99,0.012409741643297832
3e-08,1e-06,40,0.99,0.005653097808508354
3e-06,1e-07,40,0.9,0.010539948795083107
1e-07,3e-06,40,0.99,0.009939364939565107
3e-07,1e-10,40,0.95,0.009882984246449558
1e-08,1e-08,40,0.9,0.0038383353127738407
1e-10,1e-10,40,0.95,0.0039114761161280235
3e-07,3e-09,40,0.95,0.010457403266362792
1e-10,1e-07,40,0.95,0.004566836142359582
3e-10,3e-08,40,0.9,0.003744176854589601
1e-09,1e-09,40,0.99,0.004716342680232348
3e-09,3e-09,40,0.95,0.004164196337622015
1e-10,3e-06,40,0.95,0.006759566925105978
3e-08,1e-07,40,0.9,0.004025953229284027
1e-06,3e-08,40,0.99,0.012633898188764276
3e-10,3e-10,40,0.99,0.004735088585522951
3e-08,3e-10,40,0.99,0.00511888716680742
3e-09,1e-07,40,0.95,0.004399473335379497
3e-08,3e-09,40,0.95,0.004401586221314793
1e-09,1e-10,40,0.95,0.004512917835108475
3e-07,1e-09,40,0.95,0.010407472435576043
1e-10,1e-09,40,0.99,0.004554460667595701
3e-06,3e-07,40,0.99,0.011043101602171219
1e-10,1e-07,40,0.99,0.004374722385851735
