rank,FM
1,0.01319332048444503
5,0.014752948031902354
15,0.013160054445734419
30,0.011689501721128287
50,0.011995727204502576
75,0.009106030017595733
100,0.013395029602643998
150,0.012759845254140461
200,0.0127973688374425
250,0.012319538888857118
300,0.014148392586280412
400,0.012476623220648202
500,0.012715331672255489
750,0.012221361181487688
1000,0.01356518840905726
1250,0.01316979278466928
1500,0.013487281697578348
1750,0.013228222818278464
2000,0.013815573335570134
2500,0.011538374774493116
3000,0.013611417717867134
