type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD(cs),0.001449436949492697,0.0014494369494926973,0.009351855558669282,13,8956,,8956
1,3,HybridSVD(cs),0.0026758835990634408,0.0020254952242910766,0.021417991112534528,24,26883,,8945
1,10,HybridSVD(cs),0.004348310848478091,0.0023114891327624073,0.053861243444493376,39,89651,,8930
1,20,HybridSVD(cs),0.005240272048165905,0.0023768505597730237,0.09418311381560511,47,179333,,8922
1,30,HybridSVD(cs),0.006020738097892742,0.002408853425982602,0.12922855198366628,54,269016,,8915
2,1,HybridSVD(cs),0.00044603033006244426,0.00044603033006244426,0.00939188918691701,4,8964,,8964
2,3,HybridSVD(cs),0.0008920606601248885,0.0006690454950936664,0.021129748989150886,8,26896,,8960
2,10,HybridSVD(cs),0.0022301516503122213,0.0008570154199056964,0.054373673886064296,20,89660,,8948
2,20,HybridSVD(cs),0.0031222123104371097,0.000911175260396468,0.09390287841787101,28,179332,,8940
2,30,HybridSVD(cs),0.004014272970561998,0.000950232821731305,0.12900436366547902,36,269004,,8932
3,1,HybridSVD(cs),0.0006689708997658602,0.0006689708997658602,0.00976019856679611,6,8963,,8963
3,3,HybridSVD(cs),0.0013379417995317204,0.0009848738246552942,0.021826334120661355,12,26895,,8957
3,10,HybridSVD(cs),0.0024528932991414874,0.0011595495595941579,0.05503823211497658,22,89668,,8947
3,20,HybridSVD(cs),0.004013825398595161,0.0012649732568996964,0.09488770567276512,36,179344,,8933
3,30,HybridSVD(cs),0.004459805998439068,0.0012832415846106937,0.13054966171584131,40,269030,,8929
4,1,HybridSVD(cs),0.0007805530776092774,0.0007805530776092775,0.00937587573561792,7,8961,,8961
4,3,HybridSVD(cs),0.00211864406779661,0.0013195063931013976,0.021401977661235437,19,26885,,8949
4,10,HybridSVD(cs),0.003345227475468332,0.0015279636237486372,0.05452580167340566,30,89650,,8938
4,20,HybridSVD(cs),0.004906333630686887,0.0016299489868740564,0.09475159133672285,44,179316,,8924
4,30,HybridSVD(cs),0.006132917038358609,0.0016763641695734055,0.1308138836622763,55,268985,,8913
5,1,HybridSVD(cs),0.001114951499609767,0.001114951499609767,0.009712158212898834,10,8959,,8959
5,3,HybridSVD(cs),0.0016724272494146504,0.0013565243245252164,0.02161815925377317,15,26892,,8954
5,10,HybridSVD(cs),0.0035678447987512545,0.0017137512454716156,0.054541815124704754,32,89658,,8937
5,20,HybridSVD(cs),0.005463262348087858,0.0018428870336084627,0.09442331558509148,49,179331,,8920
5,30,HybridSVD(cs),0.006132233247853718,0.0018678429891619468,0.12990111693822812,55,269015,,8914
