features_weight,rank,HybridSVD(cs)
0.1,3000,0.0012864859029425872
0.1,2500,0.0015856645553378745
0.1,2000,0.0017139282219001252
0.1,1750,0.0017123354340435398
0.1,1500,0.0015855318230164927
0.1,1250,0.0014692140653786326
0.1,1000,0.0012825924215153785
0.1,750,0.0017402534656409112
0.1,500,0.001190166481726299
0.1,400,0.0011338437333531547
0.1,350,0.0009645657794838307
0.1,300,0.000795597534364398
0.1,250,0.0003996570196815487
0.1,200,0.0006923317883291124
0.1,150,0.0003617398198733911
0.1,125,0.00045863441448233515
0.1,100,0.0005017281748243952
0.1,75,0.0005300444033859131
0.1,60,0.00045713011484000446
0.1,50,0.0004340346909195165
0.1,30,0.00019339099225374178
0.1,20,0.00022683953724203471
0.1,15,0.00048407477608057386
0.1,10,0.0003727123584409793
0.1,5,0.00036187255219477315
0.1,1,0.0007817048847264033
0.3,3000,0.0014130240493268702
0.3,2500,0.0013525865989908806
0.3,2000,0.001977313391629369
0.3,1750,0.0021482726215695334
0.3,1500,0.0021365036890736524
0.3,1250,0.0016848155994103147
0.3,1000,0.001163973970306895
0.3,750,0.0014887699607289307
0.3,500,0.001346082715243157
0.3,400,0.0007648036358037473
0.3,350,0.0008084725695384632
0.3,300,0.0006308767235291932
0.3,250,0.0005273897569582708
0.3,200,0.0005475650698083523
0.3,150,0.000636451481027242
0.3,125,0.00067251042833605
0.3,100,0.0007702014168732866
0.3,75,0.0005549538356986233
0.3,60,0.0003801453684383777
0.3,50,0.0005465916994515501
0.3,30,0.0005992864310402498
0.3,20,0.0004420871184166981
0.3,15,0.0005170366358904658
0.3,10,0.0005342475935630134
0.3,5,0.0011888834026196051
0.3,1,0.0007126840776077034
0.5,3000,0.0013519671814910973
0.5,2500,0.0011315872838896586
0.5,2000,0.0019915157500172555
0.5,1750,0.0023114891327624073
0.5,1500,0.001885285648804436
0.5,1250,0.001769366088130722
0.5,1000,0.0018562172704217525
0.5,750,0.0014356770321760845
0.5,500,0.0014386856314607458
0.5,400,0.0009965985130440478
0.5,350,0.0007691395583022297
0.5,300,0.0009749189005516356
0.5,250,0.0005325220733850459
0.5,200,0.0007360007220638283
0.5,150,0.00044783885234325646
0.5,125,0.0008335589782796829
0.5,100,0.0008335589782796829
0.5,75,0.0004620854548382701
0.5,60,0.0004385475898465084
0.5,50,0.0006738819956569985
0.5,30,0.0008557252759504963
0.5,20,0.0007587421931272974
0.5,15,0.000888687135760388
0.5,10,0.0007660424708033136
0.5,5,0.001229455248855405
0.5,1,0.0007238335926038011
0.7,3000,0.0012260484526065974
0.7,2500,0.001227906705105947
0.7,2000,0.0017933021500866303
0.7,1750,0.0022303454402908076
0.7,1500,0.0019198402964709133
0.7,1250,0.0017348999286784994
0.7,1000,0.0015438538741025082
0.7,750,0.0015070427769725352
0.7,500,0.0013622318143446475
0.7,400,0.0011790612108373286
0.7,350,0.0007585652166987879
0.7,300,0.0010335865866025304
0.7,250,0.0008227191720334768
0.7,200,0.001011641509467354
0.7,150,0.0006251249896026349
0.7,125,0.0006336641022782175
0.7,100,0.0006699000260155351
0.7,75,0.000631451896921849
0.7,60,0.0007477696545597093
0.7,50,0.0007194091818910639
0.7,30,0.000921516263248898
0.7,20,0.0012902024079412863
0.7,15,0.0012436133631361641
0.7,10,0.0010421256992781131
0.7,5,0.0011684426251267594
0.7,1,0.0007222850488543431
0.9,3000,0.0013277656548924249
0.9,2500,0.0013265710639999858
0.9,2000,0.0018870996571966581
0.9,1750,0.002108895366226172
0.9,1500,0.0019549701175300463
0.9,1250,0.0019254150539689619
0.9,1000,0.0015773024190908016
0.9,750,0.0016511458338863848
0.9,500,0.0014473574764577108
0.9,400,0.0010892014292616366
0.9,350,0.0011912725844044833
0.9,300,0.001122782706571312
0.9,250,0.001170654830483128
0.9,200,0.0009154990646795755
0.9,150,0.0007841825547255361
0.9,125,0.001032701704459983
0.9,100,0.0009405412293136678
0.9,75,0.000933063975209142
0.9,60,0.001098625424079767
0.9,50,0.0009250115477119601
0.9,30,0.0011817601013720984
0.9,20,0.0014292173925354883
0.9,15,0.0013032101754367335
0.9,10,0.001192909616368196
0.9,5,0.0009866435889403892
0.9,1,0.000694411261364099
