type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD,0.00900756635573882,0.00900756635573882,0.05383225921548514,225,24754,,24754
1,3,HybridSVD,0.016053484927338966,0.01207013891669002,0.08246549071203978,401,74536,,24578
1,10,HybridSVD,0.02710276632371192,0.013952227807866544,0.13270744597819056,677,249113,,24302
1,20,HybridSVD,0.035389727370991636,0.014513847929523907,0.1799165979082577,884,498696,,24095
1,30,HybridSVD,0.04067416629969174,0.014726522862967885,0.2190977410075151,1016,748354,,23963
2,1,HybridSVD,0.007846591136554707,0.007846591136554707,0.053988359387195324,196,24783,,24783
2,3,HybridSVD,0.014332038912686657,0.010615583757022566,0.0813950895345985,358,74579,,24621
2,10,HybridSVD,0.024740782257095962,0.012408518393545818,0.133889347278282,618,249172,,24361
2,20,HybridSVD,0.033708314984587054,0.013021746251608252,0.18252570077827085,842,498738,,24137
2,30,HybridSVD,0.039793426478241724,0.013266281350947623,0.22235354458889905,994,748376,,23985
3,1,HybridSVD,0.008687297329756996,0.008687297329756994,0.053854559240015164,217,24762,,24762
3,3,HybridSVD,0.015573081388366227,0.011629769005965011,0.08217559039314944,389,74548,,24590
3,10,HybridSVD,0.026342127387005084,0.013506869579970986,0.13259594585554044,658,249132,,24321
3,20,HybridSVD,0.03526962648624845,0.014108640138598184,0.1804071984479183,881,498699,,24098
3,30,HybridSVD,0.04155490612114176,0.014357320512708356,0.2201681421849564,1038,748332,,23941
4,1,HybridSVD,0.007926658393050161,0.007926658393050163,0.053787659166425084,198,24781,,24781
4,3,HybridSVD,0.015012610592898034,0.011042609124998333,0.08208639029502933,375,74562,,24604
4,10,HybridSVD,0.025301253052564154,0.012812063720827082,0.13266284592913052,632,249158,,24347
4,20,HybridSVD,0.033428079586852955,0.01335674324274067,0.1814775996253596,835,498745,,24144
4,30,HybridSVD,0.03995356099123264,0.01361420113775054,0.22300024530026982,998,748372,,23981
5,1,HybridSVD,0.008447095560270627,0.008447095560270627,0.0536315589947149,211,24768,,24768
5,3,HybridSVD,0.016013451299091236,0.011776558976206683,0.08273309100640011,400,74537,,24579
5,10,HybridSVD,0.025981824732775532,0.013442911092937115,0.13411234752358228,649,249141,,24330
5,20,HybridSVD,0.033708314984587054,0.013963522954575439,0.1820574002631403,842,498738,,24137
5,30,HybridSVD,0.03851235037431443,0.014158126877244971,0.22315634547198002,962,748408,,24017
