features_weight,rank,HybridSVD
0.1,3000,0.01217761014490267
0.1,2500,0.013084022324784565
0.1,2000,0.013577945156471118
0.1,1750,0.013332675638012121
0.1,1500,0.013952227807866544
0.1,1250,0.013767326458987456
0.1,1000,0.013775778002728643
0.1,750,0.012932498219138997
0.1,500,0.013260376811759974
0.1,400,0.012681859110859473
0.1,350,0.01215732326265174
0.1,300,0.011892306998195944
0.1,250,0.011841963122038383
0.1,200,0.012597629627935085
0.1,150,0.01156682724599775
0.1,125,0.011608624260251627
0.1,100,0.011862790140543453
0.1,75,0.012290578053819176
0.1,60,0.012342844179587044
0.1,50,0.012355950426930051
0.1,30,0.012631547007422743
0.1,20,0.01313768645026902
0.1,15,0.013113205568868327
0.1,10,0.011274883600637234
0.1,5,0.009715939166677788
0.1,1,0.007902336375253626
0.3,3000,0.012104930046000545
0.3,2500,0.012745055052593386
0.3,2000,0.012735380259100185
0.3,1750,0.012492461921982721
0.3,1500,0.012409916393262405
0.3,1250,0.012343590838526585
0.3,1000,0.012500548079434345
0.3,750,0.012096494388619775
0.3,500,0.011685609562826426
0.3,400,0.011116687223617045
0.3,350,0.010623908209880427
0.3,300,0.010119945198411112
0.3,250,0.01023176928937768
0.3,200,0.010846444346584464
0.3,150,0.010233945720754641
0.3,125,0.010301383320719563
0.3,100,0.010639985206621183
0.3,75,0.010788300267462764
0.3,60,0.01077087293008667
0.3,50,0.011163965032214363
0.3,30,0.01184108937221552
0.3,20,0.013234148430713546
0.3,15,0.0120854374817704
0.3,10,0.010135704467943549
0.3,5,0.010481677625078083
0.3,1,0.00790071596649122
0.5,3000,0.011869923116370132
0.5,2500,0.011951833190673816
0.5,2000,0.012126757905211807
0.5,1750,0.01187394236555532
0.5,1500,0.011553053771517283
0.5,1250,0.011083071684977287
0.5,1000,0.011393014576688865
0.5,750,0.011190971844921163
0.5,500,0.010843028779095076
0.5,400,0.010134099945541557
0.5,350,0.009445553312401465
0.5,300,0.00978221706233236
0.5,250,0.010344054084796309
0.5,200,0.010173100960362261
0.5,150,0.01022531942704888
0.5,125,0.010386534212548064
0.5,100,0.010304592365523549
0.5,75,0.010470557172787047
0.5,60,0.011073206255159096
0.5,50,0.010621016892284759
0.5,30,0.011132811879439045
0.5,20,0.012380145353843262
0.5,15,0.011529271889974883
0.5,10,0.010550910383769986
0.5,5,0.010585542649476355
0.5,1,0.007688061145965786
0.7,3000,0.011162932418787337
0.7,2500,0.011730282008315558
0.7,2000,0.011525395618033436
0.7,1750,0.011509207416769768
0.7,1500,0.011035984512704959
0.7,1250,0.010843219415420064
0.7,1000,0.01084924034601764
0.7,750,0.010435162361780721
0.7,500,0.010120707743711066
0.7,400,0.00961123216517748
0.7,350,0.009176629003283393
0.7,300,0.009497390506438106
0.7,250,0.009689154763016808
0.7,200,0.010146125920376291
0.7,150,0.010274360621652347
0.7,125,0.010448284495484142
0.7,100,0.010235423152273306
0.7,75,0.01008265991051531
0.7,60,0.010358478900053824
0.7,50,0.010609705803668733
0.7,30,0.011231259654935545
0.7,20,0.011559344770241923
0.7,15,0.010514721254742876
0.7,10,0.010549305861367993
0.7,5,0.010037256692447052
0.7,1,0.007684725010278476
0.9,3000,0.010889766451438257
0.9,2500,0.011250942855490676
0.9,2000,0.011301207299846157
0.9,1750,0.011169080440268236
0.9,1500,0.010902586744293778
0.9,1250,0.010656618225976487
0.9,1000,0.010381530009017098
0.9,750,0.01014741271556997
0.9,500,0.009825904553475713
0.9,400,0.00921809240396854
0.9,350,0.00914835128174333
0.9,300,0.009242891012577551
0.9,250,0.009297794274174435
0.9,200,0.009819136963938596
0.9,150,0.01051297375509714
0.9,125,0.010220950677934545
0.9,100,0.009903080492375501
0.9,75,0.010198630341550394
0.9,60,0.010411396366598739
0.9,50,0.010495085713268988
0.9,30,0.01096792734468382
0.9,20,0.010243334559760358
0.9,15,0.010452414949192242
0.9,10,0.010706549056763237
0.9,5,0.00930411704561991
0.9,1,0.007662817719265136
