alpha,beta,LCE
0.7,0.1,13.858161673881114
0.3,0.1,38.998742274940014
0.5,0.1,17.326994743198156
0.5,0.05,17.585400937125087
0.9,0.0,36.450904299505055
0.3,0.0,40.90847435966134
0.1,0.05,41.066072864457965
0.9,0.3,50.10374849382788
0.1,0.3,62.656215452589095
0.3,0.3,44.625110120512545
0.7,0.3,22.7068277252838
0.7,0.0,17.010089662857354
0.5,0.3,13.824910377152264
0.9,0.1,44.19215048290789
0.9,0.05,43.25222937297076
0.1,0.0,50.84715348109603
0.3,0.05,49.75586446840316
0.1,0.1,59.16206464637071
0.7,0.05,16.442455080337822
0.5,0.0,28.30644191801548
