type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE(cs),0.0004459805998439068,0.0004459805998439068,1.6013451299091238e-05,4,8965,,8965
1,3,LCE(cs),0.0006689708997658602,0.0005574757498048835,4.003362824772809e-05,6,26901,,8963
1,10,LCE(cs),0.0020069126992975804,0.0007789175059773789,0.00012010088474318428,18,89672,,8951
1,20,LCE(cs),0.0033448544988293008,0.0008702213975270085,0.0002482084951359142,30,179350,,8939
1,30,LCE(cs),0.004682796298361021,0.0009267299254127925,0.00043236318507546337,42,269028,,8927
2,1,LCE(cs),0.00044603033006244426,0.00044603033006244426,1.6013451299091238e-05,4,8964,,8964
2,3,LCE(cs),0.0008920606601248885,0.0006132917038358609,4.003362824772809e-05,8,26896,,8960
2,10,LCE(cs),0.0023416592328278324,0.000853165753366467,0.00012010088474318428,21,89659,,8947
2,20,LCE(cs),0.003233719892952721,0.0009163189793002226,0.00024020176948636856,29,179331,,8939
2,30,LCE(cs),0.004014272970561998,0.0009461319015237081,0.0003843228311781897,36,269004,,8932
3,1,LCE(cs),0.0002229902999219534,0.0002229902999219534,1.6013451299091238e-05,2,8967,,8967
3,3,LCE(cs),0.0006689708997658602,0.0004459805998439068,4.003362824772809e-05,6,26901,,8963
3,10,LCE(cs),0.002898873898985394,0.0008250198656041003,0.00012010088474318428,26,89664,,8943
3,20,LCE(cs),0.003679339948712231,0.0008791000304899056,0.0002482084951359142,33,179347,,8936
3,30,LCE(cs),0.004682796298361021,0.0009190214182915398,0.00040834300812682655,42,269028,,8927
4,1,LCE(cs),0.0,0.0,1.6013451299091238e-05,0,8968,,8968
4,3,LCE(cs),0.0006690454950936663,0.00027876895628902766,4.003362824772809e-05,6,26898,,8962
4,10,LCE(cs),0.00211864406779661,0.0005581573991475864,0.00012010088474318428,19,89661,,8949
4,20,LCE(cs),0.003456735057983943,0.0006443742201582946,0.0002562152207854598,31,179329,,8937
4,30,LCE(cs),0.004683318465655665,0.0006929624000499129,0.0004163497337763722,42,268998,,8926
5,1,LCE(cs),0.0003344854498829301,0.0003344854498829301,1.6013451299091238e-05,3,8966,,8966
5,3,LCE(cs),0.0008919611996878136,0.0005760582747983796,4.003362824772809e-05,8,26899,,8961
5,10,LCE(cs),0.0023413981491805106,0.0008318777022088429,0.00012010088474318428,21,89669,,8948
5,20,LCE(cs),0.0035678447987512545,0.0009138700086096467,0.0002562152207854598,32,179348,,8937
5,30,LCE(cs),0.004348310848478091,0.0009451927553006543,0.00043236318507546337,39,269031,,8930
