alpha,beta,LCE(cs)
0.3,0.1,0.0007644939270538558
0.3,0.0,0.0005427424621314688
0.9,0.3,0.00046898753555014007
0.5,0.1,0.0007298065470659963
0.9,0.05,0.00041775285949664364
0.7,0.0,0.0004119126373558306
0.7,0.1,0.0004315570209203836
0.5,0.3,0.0007109143133226086
0.7,0.3,0.0004315570209203836
0.9,0.0,0.00030877962364192713
0.7,0.05,0.0004119126373558306
0.5,0.05,0.0007521055770581916
0.9,0.1,0.0003301495273844477
0.3,0.3,0.0007978097397207666
0.1,0.0,0.0003228492497084314
0.3,0.05,0.0007587421931272974
0.1,0.1,0.0005217707553530945
0.1,0.3,0.00044080403931000435
0.5,0.0,0.0006012774158609815
0.1,0.05,0.000383507920580058
