type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE,0.008967532727491092,0.008967532727491092,0.0008474009321410254,224,24755,,24755
1,3,LCE,0.017334561031266262,0.012690660154529803,0.0012042013246214571,433,74504,,24546
1,10,LCE,0.031426398174466554,0.01496746155659643,0.0019401021341123475,785,249005,,24194
1,20,LCE,0.04359662116177589,0.015796784088110104,0.002854403139843454,1089,498491,,23890
1,30,LCE,0.053444893710717,0.016192215082869423,0.00376870414557456,1335,748035,,23644
2,1,LCE,0.008727330958004724,0.008727330958004724,0.0009366010302611332,218,24761,,24761
2,3,LCE,0.015813283157852596,0.011716508533835088,0.001248801373681511,395,74542,,24584
2,10,LCE,0.02994515392930061,0.014020507384933503,0.0020516022567624824,748,249042,,24231
2,20,LCE,0.04239561231434405,0.014862302613611236,0.0029659032624935887,1059,498521,,23920
2,30,LCE,0.05316465831298291,0.015298567404515935,0.003835604219164641,1328,748042,,23651
3,1,LCE,0.009367869009968374,0.009367869009968373,0.0008251009076109983,234,24745,,24745
3,3,LCE,0.017174426518275353,0.012737366054152155,0.0012042013246214571,429,74508,,24550
3,10,LCE,0.031186196404980184,0.01505982485605369,0.0020516022567624824,779,249011,,24200
3,20,LCE,0.042355578686096323,0.01581856087822214,0.0029659032624935887,1058,498522,,23921
3,30,LCE,0.053284759197726086,0.016258305314740058,0.003746404121044533,1331,748039,,23648
4,1,LCE,0.009047599983986548,0.00904759998398655,0.0008697009566710523,226,24753,,24753
4,3,LCE,0.017895031826734457,0.012844122396146098,0.001159601275561403,447,74490,,24532
4,10,LCE,0.031146162776732454,0.01502651115826183,0.0019624021586423747,778,249012,,24201
4,20,LCE,0.04351655390528043,0.01587553458118541,0.0029436032379635615,1087,498493,,23892
4,30,LCE,0.05224388486328516,0.016222099821284305,0.003813304194634614,1305,748065,,23674
5,1,LCE,0.00924776812522519,0.00924776812522519,0.0008697009566710523,231,24748,,24748
5,3,LCE,0.01721446014652308,0.012597248355285107,0.001226501349151484,430,74507,,24549
5,10,LCE,0.030945994635493815,0.014861817259831591,0.0019401021341123475,773,249017,,24206
5,20,LCE,0.04199527603186677,0.015625293166918845,0.002921303213433535,1049,498531,,23930
5,30,LCE,0.05164338043956924,0.016011117689877934,0.003746404121044533,1290,748080,,23689
