alpha,beta,LCE
0.7,0.1,0.00101885583890468
0.3,0.1,0.009533388999140231
0.5,0.1,0.007613728865580421
0.5,0.05,0.0077598516086846295
0.9,0.0,0.0002606951744227056
0.3,0.0,0.00962721384375574
0.1,0.05,0.014740683761661384
0.9,0.3,0.0002815380792881894
0.1,0.3,0.014020396180410594
0.3,0.3,0.008314730405286474
0.7,0.3,0.00017071482902781193
0.7,0.0,0.001606794151531731
0.5,0.3,0.007292887930623628
0.9,0.1,0.00026255387859135007
0.9,0.05,0.00026255387859135007
0.1,0.0,0.014840100605143241
0.3,0.05,0.009537249384721261
0.1,0.1,0.014755013258756403
0.7,0.05,0.0014797668136472735
0.5,0.0,0.00788233544749018
