type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs(cs),0.0020069126992975804,0.002006912699297581,0.0025221185796068697,18,8951,,8951
1,3,HybridSVDs(cs),0.004125320548556138,0.002991786523952875,0.004908122823171464,37,26870,,8932
1,10,HybridSVDs(cs),0.007916155647229346,0.003637971708548139,0.012690660154529805,71,89619,,8898
1,20,HybridSVDs(cs),0.012710447095551344,0.003970095192294325,0.025677569158092797,114,179266,,8855
1,30,HybridSVDs(cs),0.016055301594380643,0.004097583821121816,0.04172304735978222,144,268926,,8825
2,1,HybridSVDs(cs),0.0006690454950936663,0.0006690454950936664,0.002562152207854598,6,8962,,8962
2,3,HybridSVDs(cs),0.0023416592328278324,0.0013938447814451382,0.004988190079666921,21,26883,,8947
2,10,HybridSVDs(cs),0.005129348795718109,0.0018576189768205824,0.012618599623683894,46,89634,,8922
2,20,HybridSVDs(cs),0.008809099018733274,0.002109895157608838,0.026502261899995997,79,179281,,8889
2,30,HybridSVDs(cs),0.010927743086529884,0.002197123997819294,0.0420353096601145,98,268942,,8870
3,1,HybridSVDs(cs),0.0010034563496487902,0.0010034563496487904,0.0026502261899995997,9,8960,,8960
3,3,HybridSVDs(cs),0.0032333593488683243,0.0020069126992975804,0.005108290964410104,29,26878,,8940
3,10,HybridSVDs(cs),0.007024194447541532,0.002611641155514497,0.012890828295768446,63,89627,,8906
3,20,HybridSVDs(cs),0.01081502954621474,0.002874273167240481,0.02673445694383282,97,179283,,8872
3,30,HybridSVDs(cs),0.013936893745122088,0.00299717293309082,0.042683854437727695,125,268945,,8844
4,1,HybridSVDs(cs),0.001672613737734166,0.0016726137377341662,0.0025701589335041437,15,8953,,8953
4,3,HybridSVDs(cs),0.003456735057983943,0.002397413024085638,0.005068257336162376,31,26873,,8937
4,10,HybridSVDs(cs),0.007024977698483497,0.002995438808886624,0.0128828215701189,63,89617,,8905
4,20,HybridSVDs(cs),0.010816235504014273,0.003270087687459706,0.026189999599663717,97,179263,,8871
4,30,HybridSVDs(cs),0.013380909901873328,0.0033746844751430835,0.04186716842147404,120,268920,,8848
5,1,HybridSVDs(cs),0.0010034563496487902,0.0010034563496487902,0.0025701589335041437,9,8960,,8960
5,3,HybridSVDs(cs),0.0031218641989073474,0.0019140000743301,0.0047880219384282795,28,26879,,8941
5,10,HybridSVDs(cs),0.0078046604972683686,0.002686236720131246,0.012762720685375716,70,89620,,8899
5,20,HybridSVDs(cs),0.011929981045824507,0.0029805306095853834,0.026254053404860082,107,179273,,8862
5,30,HybridSVDs(cs),0.015051845244731854,0.003100688916498233,0.04171504063413267,135,268935,,8834
