features_weight,rank,HybridSVDs(cs)
0.1,3000,0.002292242946162001
0.1,2500,0.0025853601558808383
0.1,2000,0.0026910150837010016
0.1,1750,0.002832551982401464
0.1,1500,0.0029477193932540124
0.1,1250,0.0031089891637332825
0.1,1000,0.003071425916782144
0.1,750,0.0029367468546864246
0.1,500,0.0029945296585947717
0.1,400,0.0028882995573819526
0.1,350,0.0027576909531419514
0.1,300,0.0028968829141646627
0.1,250,0.003019085138050463
0.1,200,0.00276764587724561
0.1,150,0.0024924475309133576
0.1,125,0.0023105600065127328
0.1,100,0.0021634925944213493
0.1,75,0.0023667057784573673
0.1,60,0.0021492017478192084
0.1,50,0.002002621020906226
0.1,30,0.0018808612380916984
0.1,20,0.0017008319661904231
0.1,15,0.0018635617922048962
0.1,10,0.0018564384909573893
0.1,5,0.0011570276454878976
0.1,1,0.000628708762279952
0.3,3000,0.002350600923463004
0.3,2500,0.002721764738154526
0.3,2000,0.003094875293559651
0.3,1750,0.003036296095723011
0.3,1500,0.003117085835337591
0.3,1250,0.00292099595254908
0.3,1000,0.002986344498776208
0.3,750,0.0031038568473065074
0.3,500,0.0033884791884568896
0.3,400,0.0031002288305220626
0.3,350,0.002929535065224663
0.3,300,0.0026437181331818416
0.3,250,0.002967761973782712
0.3,200,0.002729286236366178
0.3,150,0.002353211325783519
0.3,125,0.002556026312855391
0.3,100,0.002537001346790621
0.3,75,0.0021256196387203193
0.3,60,0.001971517413595683
0.3,50,0.0018033013182974162
0.3,30,0.0015566846651694462
0.3,20,0.0016989294695839462
0.3,15,0.00137010726541332
0.3,10,0.00153978341624679
0.3,5,0.0015166879923263024
0.3,1,0.0006144179156778109
0.5,3000,0.002301666940980131
0.5,2500,0.002948913984146452
0.5,2000,0.003088105945169163
0.5,1750,0.0032371643420812785
0.5,1500,0.0033394124736526344
0.5,1250,0.003206149222984991
0.5,1000,0.002928340474332224
0.5,750,0.003302468644201279
0.5,500,0.0033356959686539353
0.5,400,0.0031941590699534734
0.5,350,0.002864894424711573
0.5,300,0.0029506837484315467
0.5,250,0.002955727576644067
0.5,200,0.002822066129012277
0.5,150,0.002536072220540946
0.5,125,0.0025902712517719764
0.5,100,0.002812066960801491
0.5,75,0.0025176224278688326
0.5,60,0.0020631912035635976
0.5,50,0.0019023196300484739
0.5,30,0.0016475178171019404
0.5,20,0.0015936284946208015
0.5,15,0.0014851419439444863
0.5,10,0.0014369158671756511
0.5,5,0.0014976630262615322
0.5,1,0.0006009677071110899
0.7,3000,0.00236413962024398
0.7,2500,0.0028540103743582394
0.7,2000,0.003244995549042823
0.7,1750,0.003315874608660873
0.7,1500,0.003279417464387918
0.7,1250,0.003427900687907378
0.7,1000,0.0034058228784508197
0.7,750,0.0034391386911177303
0.7,500,0.0034974081802044794
0.7,400,0.003240703870651468
0.7,350,0.003379497634710033
0.7,300,0.0032817181579585415
0.7,250,0.0030900526858827675
0.7,200,0.002816845324371247
0.7,150,0.002828039083474472
0.7,125,0.0034508633795064837
0.7,100,0.003442589731473665
0.7,75,0.002834365990793687
0.7,60,0.002148626574426552
0.7,50,0.0019366530571793144
0.7,30,0.001973508398416415
0.7,20,0.0015458448589232403
0.7,15,0.0014328011652128055
0.7,10,0.0014350133705691738
0.7,5,0.0013999720377242955
0.7,1,0.0006009677071110899
0.9,3000,0.0023533883022120285
0.9,2500,0.002853612177394093
0.9,2000,0.0033242809890150727
0.9,1750,0.003373126483283692
0.9,1500,0.00351338030287746
0.9,1250,0.0033587029043601687
0.9,1000,0.0034152911173760767
0.9,750,0.003637971708548139
0.9,500,0.0032991945802738534
0.9,400,0.0034699768337855086
0.9,350,0.003560456032860983
0.9,300,0.0032481368806488668
0.9,250,0.003136022313188107
0.9,200,0.0031061132967700033
0.9,150,0.003367374749357133
0.9,125,0.003593771845527894
0.9,100,0.003546563383222989
0.9,75,0.0028775924834571285
0.9,60,0.002034653754466443
0.9,50,0.0019907193560889627
0.9,30,0.002153581914424818
0.9,20,0.0015455351501733484
0.9,15,0.0014332436062840792
0.9,10,0.001399927793617168
0.9,5,0.0014173157277182252
0.9,1,0.0006009677071110899
