type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs,0.016854157492293527,0.016854157492293527,0.15676917244608968,421,24558,,24558
1,3,HybridSVDs,0.030105288442291524,0.022578966331718645,0.345494280043708,752,74185,,24227
1,10,HybridSVDs,0.050042035309660116,0.026043749765676184,0.6409696050665655,1250,248540,,23729
1,20,HybridSVDs,0.0618519556427399,0.026859685186396344,0.7706888477577325,1545,498035,,23434
1,30,HybridSVDs,0.07017895031826735,0.027192487678610044,0.8215775037352541,1753,747617,,23226
2,1,HybridSVDs,0.014412106169182114,0.014412106169182114,0.15688067256873983,360,24619,,24619
2,3,HybridSVDs,0.028624044197125584,0.020597301733456107,0.346252480877729,715,74222,,24264
2,10,HybridSVDs,0.04864085832098963,0.024059940508757514,0.641326405459046,1215,248575,,23764
2,20,HybridSVDs,0.06065094679530806,0.024896996866802898,0.7705550476105524,1515,498065,,23464
2,30,HybridSVDs,0.06917810961207414,0.025235504674791066,0.8208862029748233,1728,747642,,23251
3,1,HybridSVDs,0.01849553625045038,0.018495536250450376,0.15632317195548914,462,24517,,24517
3,3,HybridSVDs,0.03298770967612795,0.02463402591510202,0.3471890819079901,824,74113,,24155
3,10,HybridSVDs,0.05192361583730334,0.027807199317267776,0.6404344044778449,1297,248493,,23682
3,20,HybridSVDs,0.06425397333760359,0.028656888856566493,0.7709564480520928,1605,497975,,23374
3,30,HybridSVDs,0.07266103526962649,0.028992757776258718,0.8219789041767946,1815,747555,,23164
4,1,HybridSVDs,0.01469234156691621,0.014692341566916211,0.15518587070445777,367,24612,,24612
4,3,HybridSVDs,0.02834380879939149,0.02057728491933224,0.3453381798719979,708,74229,,24271
4,10,HybridSVDs,0.04828055566676008,0.023934358829670897,0.6415048056552862,1206,248584,,23773
4,20,HybridSVDs,0.06029064414107851,0.024765986988888898,0.7675891443480588,1506,498074,,23473
4,30,HybridSVDs,0.0695384122663037,0.025134890108851036,0.8186116004727605,1737,747633,,23242
5,1,HybridSVDs,0.01657392209455943,0.016573922094559428,0.15804027384430122,414,24565,,24565
5,3,HybridSVDs,0.030065254814043797,0.022378798190480005,0.3463639810003791,751,74186,,24228
5,10,HybridSVDs,0.0473197485888146,0.025348562633882306,0.6377138014851816,1182,248608,,23797
5,20,HybridSVDs,0.06133151847551944,0.026306389205469016,0.7676783444461789,1532,498048,,23447
5,30,HybridSVDs,0.06941831138156052,0.02662981206111039,0.8169836986820685,1734,747636,,23245
