features_weight,rank,HybridSVDs
0.1,3000,0.026043749765676184
0.1,2500,0.025959170782822654
0.1,2000,0.02568799061052554
0.1,1750,0.025012963270099265
0.1,1500,0.02446949088027594
0.1,1250,0.024377413535306168
0.1,1000,0.023366484990248952
0.1,750,0.021328392039789614
0.1,500,0.018814995072050998
0.1,400,0.017688985732141983
0.1,350,0.017017993527261313
0.1,300,0.01627362222362022
0.1,250,0.01536247590833443
0.1,200,0.013989147709472783
0.1,150,0.012695346630852457
0.1,125,0.012233863747134897
0.1,100,0.010963399731965327
0.1,75,0.010440468406159586
0.1,60,0.009535819612283843
0.1,50,0.009402326525710167
0.1,30,0.008632346409078864
0.1,20,0.008642148293455392
0.1,15,0.00876151840561945
0.1,10,0.007041009686231672
0.1,5,0.006926055982263197
0.1,1,0.000558802727624538
0.3,3000,0.026018204498127636
0.3,2500,0.02551262107789591
0.3,2000,0.024834940715280203
0.3,1750,0.02434254297419356
0.3,1500,0.023901108677320697
0.3,1250,0.023300095890071468
0.3,1000,0.02170459694079535
0.3,750,0.0193548135989787
0.3,500,0.01713280425398605
0.3,400,0.016193316671718527
0.3,350,0.015495111131445652
0.3,300,0.014229047638111253
0.3,250,0.013147710743691369
0.3,200,0.01133337717968808
0.3,150,0.010656904180463972
0.3,125,0.01036527826231177
0.3,100,0.00996116102605554
0.3,75,0.009241286490175558
0.3,60,0.009091764065942375
0.3,50,0.008814118144956048
0.3,30,0.00813279980580513
0.3,20,0.007214504628332243
0.3,15,0.007171690887011757
0.3,10,0.007278749069853598
0.3,5,0.006019484938777145
0.3,1,0.0005511296155437234
0.5,3000,0.025468139268731767
0.5,2500,0.024783039975801897
0.5,2000,0.023885889544042395
0.5,1750,0.023218932474707327
0.5,1500,0.02274828316102987
0.5,1250,0.021512578502449992
0.5,1000,0.019855345156598207
0.5,750,0.017449641826118068
0.5,500,0.01474185935233215
0.5,400,0.013989243027635276
0.5,350,0.013325796843952095
0.5,300,0.012213227364954816
0.5,250,0.01163108757387952
0.5,200,0.010706072465950763
0.5,150,0.009582890898195754
0.5,125,0.009227115856684695
0.5,100,0.009012824741036438
0.5,75,0.008604608823792938
0.5,60,0.00835698812399241
0.5,50,0.00836823566716677
0.5,30,0.007610853434345167
0.5,20,0.006348555008429303
0.5,15,0.006521811655123637
0.5,10,0.0068445907260511534
0.5,5,0.0059461693854583894
0.5,1,0.0008603893937574229
0.7,3000,0.02443415961471128
0.7,2500,0.023908464062193196
0.7,2000,0.02301315644824192
0.7,1750,0.022127269446017197
0.7,1500,0.021232057150228415
0.7,1250,0.01979982232694511
0.7,1000,0.017683711460483947
0.7,750,0.015563835526604253
0.7,500,0.012846267054802227
0.7,400,0.012101609796673652
0.7,350,0.011594485399481597
0.7,300,0.011312613706624678
0.7,250,0.010960889687019637
0.7,200,0.010178724731949442
0.7,150,0.00918598606956828
0.7,125,0.008713843438011739
0.7,100,0.00862527697869385
0.7,75,0.008310488747055464
0.7,60,0.008231660626672436
0.7,50,0.008054575367117903
0.7,30,0.007487162232148021
0.7,20,0.006318561559964338
0.7,15,0.006392719090385131
0.7,10,0.006772069490753185
0.7,5,0.0059275029119698645
0.7,1,0.0008603893937574229
0.9,3000,0.023008946562731742
0.9,2500,0.02232551533764553
0.9,2000,0.021489114348115908
0.9,1750,0.020810115417585692
0.9,1500,0.019786890829566677
0.9,1250,0.01836639602663062
0.9,1000,0.01589141227837733
0.9,750,0.014092631461221077
0.9,500,0.011387772077751662
0.9,400,0.01035560346881857
0.9,350,0.010337763086071667
0.9,300,0.010555422110128065
0.9,250,0.010222285132209468
0.9,200,0.00948188541867232
0.9,150,0.00894675336806727
0.9,125,0.008495469527736632
0.9,100,0.008084537042862034
0.9,75,0.008027330259004867
0.9,60,0.00802885534960478
0.9,50,0.007831689730484719
0.9,30,0.007245435372061739
0.9,20,0.006272888273769014
0.9,15,0.006247120597174643
0.9,10,0.006806098074763755
0.9,5,0.005934270501506981
0.9,1,0.0008603893937574229
