type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs(cs),0.002006913,0.002006913,0.001681412,18,8951,,8951
1,3,PureSVDs(cs),0.003567845,0.002694466,0.002313944,32,26875,,8937
1,10,PureSVDs(cs),0.008250641,0.003469977,0.003835222,74,89616,,8895
1,20,PureSVDs(cs),0.009923068,0.003579012,0.005764842,89,179291,,8880
1,30,PureSVDs(cs),0.01103802,0.003623399,0.00819088,99,268971,,8870
2,1,PureSVDs(cs),0.000780553,0.000780553,0.001713439,7,8961,,8961
2,3,PureSVDs(cs),0.001672614,0.00113366,0.002265903,15,26889,,8953
2,10,PureSVDs(cs),0.00323372,0.001370437,0.003579006,29,89651,,8939
2,20,PureSVDs(cs),0.005352364,0.001514673,0.005492614,48,179312,,8920
2,30,PureSVDs(cs),0.00646744,0.001558323,0.007782537,58,268982,,8910
3,1,PureSVDs(cs),0.001449437,0.001449437,0.001681412,13,8956,,8956
3,3,PureSVDs(cs),0.002898874,0.002081243,0.00232195,26,26881,,8943
3,10,PureSVDs(cs),0.005574757,0.002521073,0.003731134,50,89640,,8919
3,20,PureSVDs(cs),0.007916156,0.002679502,0.005628728,71,179309,,8898
3,30,PureSVDs(cs),0.009477088,0.002742796,0.007958685,85,268985,,8884
4,1,PureSVDs(cs),0.000892061,0.000892061,0.001689419,8,8960,,8960
4,3,PureSVDs(cs),0.002007136,0.001356676,0.002305937,18,26886,,8950
4,10,PureSVDs(cs),0.005240856,0.001931736,0.003579006,47,89633,,8921
4,20,PureSVDs(cs),0.0073595,0.002073033,0.005620721,66,179294,,8902
4,30,PureSVDs(cs),0.009143622,0.00214307,0.008086793,82,268958,,8886
5,1,PureSVDs(cs),0.000891961,0.000891961,0.001673406,8,8961,,8961
5,3,PureSVDs(cs),0.002452893,0.001579515,0.002313944,22,26885,,8947
5,10,PureSVDs(cs),0.005240272,0.002061775,0.003554986,47,89643,,8922
5,20,PureSVDs(cs),0.008027651,0.002240782,0.005508627,72,179308,,8897
5,30,PureSVDs(cs),0.010034563,0.00232345,0.007846591,90,268980,,8879
