col_scaling,rank,PureSVDs(cs)
0.2,3000,0.002052971
0.2,2500,0.00255992
0.2,2000,0.002898343
0.2,1750,0.00282596
0.2,1500,0.002918386
0.2,1250,0.003114874
0.2,1000,0.003381489
0.2,750,0.003046472
0.2,500,0.002767026
0.2,400,0.002825252
0.2,350,0.002589342
0.2,300,0.002795077
0.2,250,0.002813262
0.2,200,0.003240261
0.2,150,0.00329477
0.2,125,0.003033774
0.2,100,0.002928208
0.2,75,0.002598235
0.2,60,0.002647479
0.2,50,0.002651107
0.2,30,0.002606863
0.2,20,0.00219703
0.2,15,0.001799142
0.2,10,0.001769101
0.2,5,0.001808434
0.2,1,0.000859398
0.4,3000,0.002233266
0.4,2500,0.00235476
0.4,2000,0.002531958
0.4,1750,0.00259651
0.4,1500,0.002712164
0.4,1250,0.003010546
0.4,1000,0.002956745
0.4,750,0.002807554
0.4,500,0.002933075
0.4,400,0.003088194
0.4,350,0.003210175
0.4,300,0.003469977
0.4,250,0.003322954
0.4,200,0.003438917
0.4,150,0.003133412
0.4,125,0.002795564
0.4,100,0.00246068
0.4,75,0.002541957
0.4,60,0.002586511
0.4,50,0.002524259
0.4,30,0.002049299
0.4,20,0.001743174
0.4,15,0.001997091
0.4,10,0.002082747
0.4,5,0.001826751
0.4,1,0.000849575
0.6,3000,0.002166545
0.6,2500,0.002361264
0.6,2000,0.002294853
0.6,1750,0.002342902
0.6,1500,0.002383917
0.6,1250,0.002369847
0.6,1000,0.002359052
0.6,750,0.002643408
0.6,500,0.002920155
0.6,400,0.003166064
0.6,350,0.002796582
0.6,300,0.00276946
0.6,250,0.002593059
0.6,200,0.002469839
0.6,150,0.002422055
0.6,125,0.002128717
0.6,100,0.002013372
0.6,75,0.001982048
0.6,60,0.001683842
0.6,50,0.001792683
0.6,30,0.001535934
0.6,20,0.001954306
0.6,15,0.001838077
0.6,10,0.001630041
0.6,5,0.001301131
0.6,1,0.000869397
