type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs,0.01697425837703671,0.01697425837703671,0.1604040764444841,424,24555,,24555
1,3,PureSVDs,0.02962488490331879,0.02241215954735311,0.3507347858082644,740,74197,,24239
1,10,PureSVDs,0.048921093718723725,0.025735935646260318,0.646321610953772,1222,248568,,23757
1,20,PureSVDs,0.0595700388326194,0.02647576385048369,0.7754387529826283,1488,498092,,23491
1,30,PureSVDs,0.06777693262340366,0.026805211856585187,0.8260821086903195,1693,747677,,23286
2,1,PureSVDs,0.01469234156691621,0.014692341566916211,0.16087237695961465,367,24612,,24612
2,3,PureSVDs,0.02770327074742784,0.02038378904946822,0.35225118747630624,692,74245,,24287
2,10,PureSVDs,0.04695944593458505,0.02368885101580566,0.6474812122293334,1173,248617,,23806
2,20,PureSVDs,0.05932983706313303,0.024530425798145485,0.774390651829717,1482,498098,,23497
2,30,PureSVDs,0.0661355538652468,0.024802502178482337,0.8237852061637267,1652,747718,,23327
3,1,PureSVDs,0.018095199967973097,0.018095199967973097,0.1596012755614031,452,24527,,24527
3,3,PureSVDs,0.032467272508907484,0.02418698373300239,0.3520058872064759,811,74126,,24168
3,10,PureSVDs,0.05032227070739421,0.027176193081553585,0.6462101108311219,1257,248533,,23722
3,20,PureSVDs,0.06333319988790584,0.02806331017523466,0.7742122516334768,1582,497998,,23397
3,30,PureSVDs,0.07162016093518556,0.02839162122248665,0.8249671074638182,1789,747581,,23190
4,1,PureSVDs,0.014612274310420753,0.014612274310420755,0.15888767477644225,365,24614,,24614
4,3,PureSVDs,0.02726290083670283,0.020090209108984885,0.3493521842874027,681,74256,,24298
4,10,PureSVDs,0.04675927779334641,0.02341552618485242,0.6472359119595031,1168,248622,,23811
4,20,PureSVDs,0.05844909724168301,0.024216880443510197,0.7734986508485159,1460,498120,,23519
4,30,PureSVDs,0.06625565474999,0.02452840464741374,0.8224249046673952,1655,747715,,23324
5,1,PureSVDs,0.015853316786100323,0.015853316786100326,0.16029257632183394,396,24583,,24583
5,3,PureSVDs,0.029704952159814245,0.021891722380132643,0.350422585464844,742,74195,,24237
5,10,PureSVDs,0.04647904239561231,0.024794668791626236,0.6456303101933412,1161,248629,,23818
5,20,PureSVDs,0.05864926538292165,0.025631029903085925,0.7712017483219231,1465,498115,,23514
5,30,PureSVDs,0.06657592377597181,0.02594520621676929,0.8205517026068728,1663,747707,,23316
