col_scaling,rank,PureSVDs
0.2,3000,0.025735935646260318
0.2,2500,0.025542884594487943
0.2,2000,0.02516175492175332
0.2,1750,0.024748375937374698
0.2,1500,0.023960126506265268
0.2,1250,0.02329030989205536
0.2,1000,0.022541871680147832
0.2,750,0.02073254231967551
0.2,500,0.017367048638316503
0.2,400,0.01604693974684767
0.2,350,0.015655738121609454
0.2,300,0.014270796993283881
0.2,250,0.013117542545261828
0.2,200,0.011984908593059439
0.2,150,0.01080906374052617
0.2,125,0.010091540385987722
0.2,100,0.008844445206989744
0.2,75,0.008216552697917046
0.2,60,0.007953887614802783
0.2,50,0.007928183483650077
0.2,30,0.006965025224363069
0.2,20,0.00691418887103262
0.2,15,0.0067413134969882636
0.2,10,0.00671338527537735
0.2,5,0.004119142619482905
0.2,1,5.004203530966012e-06
0.4,3000,0.02119917238416778
0.4,2500,0.021709029235351347
0.4,2000,0.022043611872067773
0.4,1750,0.022473687421243373
0.4,1500,0.022010981287773797
0.4,1250,0.02144290092566645
0.4,1000,0.021264989575370298
0.4,750,0.020567244739549476
0.4,500,0.01988298742372164
0.4,400,0.020024407804142785
0.4,350,0.019716260071158186
0.4,300,0.01923360066900641
0.4,250,0.0191415868694783
0.4,200,0.01839818463382257
0.4,150,0.017527627969399058
0.4,125,0.017430737057223308
0.4,100,0.017311795876790475
0.4,75,0.016236241617561927
0.4,60,0.015443337482850676
0.4,50,0.015079301533923417
0.4,30,0.01281031622118135
0.4,20,0.010932723170002486
0.4,15,0.00944920717529709
0.4,10,0.009128255035817389
0.4,5,0.007874153971876059
0.4,1,0.0009839376187108283
0.6,3000,0.016643456694099234
0.6,2500,0.017396041246075276
0.6,2000,0.017936193386571705
0.6,1750,0.01811693250902186
0.6,1500,0.01782800727214035
0.6,1250,0.017583389094458397
0.6,1000,0.01722581889422035
0.6,750,0.016989366305792106
0.6,500,0.016260261794510563
0.6,400,0.01556076945904401
0.6,350,0.01553466816888091
0.6,300,0.015578435091826342
0.6,250,0.01546222636538502
0.6,200,0.014914861817259832
0.6,150,0.015029990271192884
0.6,125,0.015383271154118664
0.6,100,0.014951734059784822
0.6,75,0.015114886981254733
0.6,60,0.014388387833081375
0.6,50,0.014334088253180291
0.6,30,0.014716298198423182
0.6,20,0.015167041902499689
0.6,15,0.014290670830164004
0.6,10,0.012654947616315167
0.6,5,0.009828128643933922
0.6,1,0.006680452850235468
