type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,SGD,0.011249449537611594,0.011249449537611592,0.013848315233146757,281,24698,,24698
1,3,SGD,0.025301253052564154,0.017234476960646943,0.027808130588943648,632,74305,,24347
1,10,SGD,0.050442371592137394,0.021339051787628596,0.06484847133331846,1260,248530,,23719
1,20,SGD,0.07390207774530606,0.022934918701903218,0.10886871975559173,1846,497734,,23133
1,30,SGD,0.09103647063533368,0.02361521679545153,0.14622126084338694,2274,747096,,22705
2,1,SGD,0.010328676087913848,0.010328676087913848,0.013580714938786433,258,24721,,24721
2,3,SGD,0.02410024420513231,0.01627366988270147,0.026871529558682515,602,74335,,24377
2,10,SGD,0.047880219384282795,0.02019640942836427,0.06391187030305734,1196,248594,,23783
2,20,SGD,0.07037911845950598,0.02172930257933735,0.10467631514394665,1758,497822,,23221
2,30,SGD,0.0850714600264222,0.022317039848489106,0.14202885623174186,2125,747245,,22854
3,1,SGD,0.012610592898034349,0.01261059289803435,0.013781415159556675,315,24664,,24664
3,3,SGD,0.02490091677008687,0.01796175454048067,0.027384430122873137,622,74315,,24357
3,10,SGD,0.05220385123503743,0.022485999350565587,0.06473697121066833,1304,248486,,23675
3,20,SGD,0.0743824812842788,0.023991984166794166,0.10672791740070914,1858,497722,,23121
3,30,SGD,0.09087633612234276,0.024650488831633267,0.14343375777713355,2270,747100,,22709
4,1,SGD,0.011689819448336603,0.011689819448336603,0.013000914301005731,292,24687,,24687
4,3,SGD,0.02538132030905961,0.01761479642900036,0.02667082933791227,634,74303,,24345
4,10,SGD,0.0501621361944033,0.021708330235493054,0.06315366946903642,1253,248537,,23726
4,20,SGD,0.07258096801313103,0.023223344185852073,0.1050331155364271,1813,497767,,23166
4,30,SGD,0.08915489010769045,0.023886213134815676,0.1432999576299534,2227,747143,,22752
5,1,SGD,0.012370391128547981,0.01237039112854798,0.01389291528220681,309,24670,,24670
5,3,SGD,0.02349973978141639,0.017141065161402243,0.027808130588943648,587,74350,,24392
5,10,SGD,0.049761799911926016,0.021524207318274338,0.06406797047476752,1243,248547,,23736
5,20,SGD,0.07141999279394691,0.023009203331289987,0.10806591887251076,1784,497796,,23195
5,30,SGD,0.08603226710436766,0.023593324983999204,0.1468679615547577,2149,747221,,22830
