regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
1e-09,3e-10,40,0.95,39.069198
1e-10,1e-08,40,0.9,38.130426
1e-06,1e-08,40,0.9,37.318604
3e-08,3e-06,40,0.95,35.9793
3e-10,3e-09,40,0.99,36.822017
1e-06,3e-09,40,0.95,40.334103
1e-06,3e-09,40,0.99,37.934119
1e-08,1e-10,40,0.95,38.876104
3e-08,1e-08,40,0.99,37.714214
3e-07,3e-08,40,0.99,37.910674
1e-07,1e-06,40,0.99,38.838609
3e-08,1e-08,40,0.95,38.49092
3e-07,3e-08,40,0.95,37.006678
3e-09,3e-07,40,0.99,39.88607
3e-09,1e-10,40,0.9,37.866473
3e-08,1e-06,40,0.99,37.128895
1e-09,1e-07,40,0.9,33.757772
3e-09,3e-06,40,0.9,36.794832
3e-09,3e-06,40,0.95,36.136367
3e-06,1e-07,40,0.95,40.7601
1e-10,3e-10,40,0.9,25.154704
1e-08,1e-08,40,0.9,30.316343
1e-10,3e-07,40,0.99,28.367153
3e-10,1e-08,40,0.95,34.359899
3e-07,1e-10,40,0.9,33.814185
1e-10,1e-07,40,0.9,35.404561
3e-07,3e-07,40,0.95,30.36683
3e-06,1e-09,40,0.99,34.722944
3e-09,3e-08,40,0.95,35.427785
1e-08,1e-06,40,0.9,30.00208
3e-06,1e-10,40,0.9,33.842745
1e-09,1e-09,40,0.95,35.813186
1e-09,1e-09,40,0.99,36.58764
1e-07,3e-09,40,0.95,35.117429
1e-07,1e-10,40,0.95,32.285506
1e-07,3e-07,40,0.9,33.011679
3e-10,3e-07,40,0.99,35.991752
3e-10,3e-07,40,0.95,36.81025
1e-09,1e-06,40,0.9,22.420847
1e-08,3e-09,40,0.95,20.555825
1e-06,3e-08,40,0.95,28.859013
3e-07,1e-06,40,0.95,33.376497
1e-07,3e-08,40,0.95,35.538515
1e-09,1e-08,40,0.95,36.160857
1e-07,3e-08,40,0.99,31.889718
3e-08,3e-10,40,0.95,34.074703
1e-08,1e-07,40,0.99,30.629052
3e-09,1e-07,40,0.99,36.124296
1e-06,1e-10,40,0.9,36.88906
1e-06,1e-07,40,0.9,32.087216
1e-06,3e-07,40,0.99,36.162538
1e-06,1e-10,40,0.99,39.526572
1e-07,1e-09,40,0.95,33.497916000000004
1e-09,3e-07,40,0.99,35.713051
1e-09,1e-10,40,0.95,36.552057
1e-10,1e-09,40,0.99,31.563439
1e-09,1e-10,40,0.9,34.043631
3e-06,3e-07,40,0.95,29.290407
3e-06,3e-10,40,0.95,30.278513
1e-09,3e-09,40,0.99,30.312626
