rank,SGD
1,0.016162004655339055
5,0.020466970032605166
15,0.0158555091038377
30,0.018856506131817396
50,0.013142388812952085
75,0.009117531742536746
100,0.02055455153757728
150,0.012300348165474873
200,0.020177631750352837
250,0.01251999298458324
300,0.017755740218609033
400,0.020209833402915593
500,0.019931424936629312
750,0.014924600156194696
1000,0.021230643264151413
1250,0.013981442824671137
1500,0.013529745938969688
1750,0.013311864505867469
2000,0.021771796245354032
2500,0.020424092745843017
3000,0.016807626342635752
