type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD(cs),0.01749271137026239,0.01749271137026239,0.006596028348887797,24,1348,,1348
1,1,SIM(cs),0.008017492711370262,0.008017492711370262,0.010665918181180269,11,1361,,1361
1,1,MP(cs),0.009475218658892129,0.009475218658892129,7.017051434987019e-05,13,1359,,1359
1,1,RND(cs),0.0007288629737609329,0.0007288629737609329,0.09150235071223072,1,1371,,1371
1,3,PureSVD(cs),0.030612244897959183,0.02247327502429543,0.018314504245316117,42,4074,,1330
1,3,SIM(cs),0.027696793002915453,0.015792031098153546,0.03417304048838678,38,4078,,1334
1,3,MP(cs),0.014577259475218658,0.011540330417881437,0.00021051154304961055,20,4096,,1352
1,3,RND(cs),0.0007288629737609329,0.0007288629737609329,0.25170163497298437,1,4115,,1371
1,10,PureSVD(cs),0.06341107871720117,0.028047341385533803,0.059644937197389655,87,13633,,1285
1,10,SIM(cs),0.05612244897959184,0.020687271507242352,0.11907936285172971,77,13643,,1295
1,10,MP(cs),0.02696793002915452,0.013901615067795827,0.0007017051434987018,37,13683,,1335
1,10,RND(cs),0.0007288629737609329,0.0007288629737609329,0.6196758122237036,1,13719,,1371
1,20,PureSVD(cs),0.08163265306122448,0.029338722042363645,0.11613220124903516,112,27328,,1260
1,20,SIM(cs),0.07653061224489796,0.022104126957581495,0.21261665848010666,105,27329,,1267
1,20,MP(cs),0.03498542274052478,0.014469789315329036,0.0014034102869974036,48,27392,,1324
1,20,RND(cs),0.0014577259475218659,0.0007672241829062452,0.8545365237527192,2,27438,,1370
1,30,PureSVD(cs),0.09693877551020408,0.029912884652927886,0.16868991649708792,133,41027,,1239
1,30,SIM(cs),0.09183673469387756,0.022682662436321756,0.2768226791102379,126,41018,,1246
1,30,MP(cs),0.04518950437317784,0.014869480393977284,0.0021051154304961056,62,41098,,1310
1,30,RND(cs),0.0014577259475218659,0.0007672241829062452,0.9433022244053049,2,41158,,1370
2,1,PureSVD(cs),0.010211524434719184,0.010211524434719184,0.006455687320188057,14,1357,,1357
2,1,SIM(cs),0.005835156819839533,0.005835156819839533,0.010736088695530138,8,1363,,1363
2,1,MP(cs),0.007293946024799417,0.007293946024799417,7.017051434987019e-05,10,1361,,1361
2,1,RND(cs),0.0,0.0,0.09143218019788085,0,1371,,1371
2,3,PureSVD(cs),0.027716994894237783,0.01774860199367858,0.019717914532313523,38,4075,,1333
2,3,SIM(cs),0.0175054704595186,0.010940919037199124,0.035295768717984705,24,4089,,1347
2,3,MP(cs),0.009482129832239242,0.008388037928519328,0.00021051154304961055,13,4100,,1358
2,3,RND(cs),0.0,0.0,0.2516314644586345,0,4113,,1371
2,10,PureSVD(cs),0.06345733041575492,0.023145253725122435,0.06287278085748368,87,13623,,1284
2,10,SIM(cs),0.05032822757111598,0.01631325761522698,0.12153533085397517,69,13641,,1302
2,10,MP(cs),0.02261123267687819,0.010522964352286016,0.0007017051434987018,31,13679,,1340
2,10,RND(cs),0.0007293946024799417,0.00014587892049598833,0.619465300680654,1,13709,,1370
2,20,PureSVD(cs),0.08606856309263311,0.02468659140290997,0.12125464879657567,118,27302,,1253
2,20,SIM(cs),0.0787746170678337,0.018280296295908275,0.21682688934109887,108,27312,,1263
2,20,MP(cs),0.04011670313639679,0.011723512516390418,0.0014034102869974036,55,27365,,1316
2,20,RND(cs),0.0014587892049598833,0.00018426811010019577,0.8544663532383693,2,27418,,1369
2,30,PureSVD(cs),0.10722100656455143,0.025537447815886856,0.17549645638902533,147,40983,,1224
2,30,SIM(cs),0.0962800875273523,0.018990303391765117,0.2848221177461231,132,40990,,1239
2,30,MP(cs),0.05324580598103574,0.01224100453327497,0.0021051154304961056,73,41057,,1298
2,30,RND(cs),0.002188183807439825,0.0002123217486571166,0.9433022244053049,3,41127,,1368
3,1,PureSVD(cs),0.008017492711370262,0.008017492711370262,0.006806539891937408,11,1361,,1361
3,1,SIM(cs),0.0058309037900874635,0.005830903790087464,0.009332678408532734,8,1364,,1364
3,1,MP(cs),0.0058309037900874635,0.005830903790087464,7.017051434987019e-05,8,1364,,1364
3,1,RND(cs),0.0,0.0,0.09150235071223072,0,1372,,1372
3,3,PureSVD(cs),0.02040816326530612,0.01336248785228377,0.01852501578836573,28,4088,,1344
3,3,SIM(cs),0.015306122448979591,0.009839650145772596,0.031997754543540806,21,4095,,1351
3,3,MP(cs),0.01020408163265306,0.007410106899902819,0.00021051154304961055,14,4102,,1358
3,3,RND(cs),0.0,0.0,0.25170163497298437,0,4116,,1372
3,10,PureSVD(cs),0.05612244897959184,0.01944126289971771,0.06090800645568732,77,13643,,1295
3,10,SIM(cs),0.04008746355685131,0.013837694941922347,0.1136762332467897,55,13665,,1317
3,10,MP(cs),0.015306122448979591,0.008261314729973622,0.0007017051434987018,21,13699,,1351
3,10,RND(cs),0.0,0.0,0.6196758122237036,0,13720,,1372
3,20,PureSVD(cs),0.08163265306122448,0.021138826732173092,0.11486913199073749,112,27328,,1260
3,20,SIM(cs),0.06705539358600583,0.01566476967853684,0.2033541505859238,92,27341,,1280
3,20,MP(cs),0.02696793002915452,0.009043229299386274,0.0014034102869974036,37,27403,,1335
3,20,RND(cs),0.002186588921282799,0.00014825735489000795,0.8545365237527192,3,27437,,1369
3,30,PureSVD(cs),0.10641399416909621,0.02213478165433911,0.16883025752578767,146,41014,,1226
3,30,SIM(cs),0.09475218658892129,0.016791984741153006,0.2684723879026033,130,41006,,1242
3,30,MP(cs),0.038629737609329445,0.009510325342125618,0.0021051154304961056,53,41107,,1319
3,30,RND(cs),0.0029154518950437317,0.00017339056088176426,0.9433022244053049,4,41156,,1368
4,1,PureSVD(cs),0.010940919037199124,0.010940919037199126,0.005683811662339485,15,1356,,1356
4,1,SIM(cs),0.005105762217359592,0.005105762217359592,0.010525577152480528,7,1364,,1364
4,1,MP(cs),0.0029175784099197666,0.0029175784099197666,7.017051434987019e-05,4,1367,,1367
4,1,RND(cs),0.0,0.0,0.09143218019788085,0,1371,,1371
