rank,PureSVD(cs)
1,0.01329770003239391
5,0.01206123605904947
10,0.011216969781109722
15,0.011761881623397658
20,0.010869892174556898
30,0.008618515433384238
50,0.010889270674256098
60,0.009784406960062936
75,0.007415313064001111
100,0.01087162756258966
125,0.012122842334212597
150,0.006375237169697811
200,0.008783377296496829
250,0.013643331482252765
300,0.017829665879957428
350,0.017785702716460735
400,0.019987042436022028
500,0.021216275625896616
750,0.022077895784164005
1000,0.023309732056087742
1250,0.02415197371465593
1500,0.025339846823082976
1750,0.026328439539080938
2000,0.0265962677588042
2500,0.02527043130177241
3000,0.02772022074135777
