type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD,0.031578947368421054,0.03157894736842105,0.050306211723534555,90,2760,,2760
1,1,SIM,0.002807017543859649,0.002807017543859649,0.09784193642461358,8,2842,,2842
1,1,MP,0.005614035087719298,0.005614035087719297,0.0005832604257801109,16,2834,,2834
1,1,RND,0.0007017543859649122,0.0007017543859649122,0.342082239720035,2,2848,,2848
1,3,PureSVD,0.05894736842105263,0.0431578947368421,0.07699037620297462,168,8382,,2682
1,3,SIM,0.004210526315789474,0.003333333333333333,0.20968212306794984,12,8538,,2838
1,3,MP,0.011929824561403509,0.008479532163742691,0.001020705745115194,34,8516,,2816
1,3,RND,0.0007017543859649122,0.0007017543859649122,0.715660542432196,2,8548,,2848
1,10,PureSVD,0.11052631578947368,0.05169548872180451,0.14333624963546224,315,28185,,2535
1,10,SIM,0.014736842105263158,0.004808270676691729,0.4555263925342666,42,28458,,2808
1,10,MP,0.03192982456140351,0.011782790309106096,0.0023330417031204435,91,28409,,2759
1,10,RND,0.0017543859649122807,0.0008721804511278195,0.9848352289297171,5,28495,,2845
1,20,PureSVD,0.15368421052631578,0.05463861134188655,0.21493146689997084,438,56562,,2412
1,20,SIM,0.028771929824561403,0.005738272032797045,0.6603966170895305,82,56918,,2768
1,20,MP,0.04736842105263158,0.012799615480567083,0.004228638086905804,135,56865,,2715
1,20,RND,0.003157894736842105,0.0009524464756662898,0.99970836978711,9,56991,,2841
1,30,PureSVD,0.18596491228070175,0.05592302343777449,0.27165354330708663,530,84970,,2320
1,30,SIM,0.043859649122807015,0.006348116994447682,0.7863808690580344,125,85375,,2725
1,30,MP,0.05824561403508772,0.013224535309319208,0.006707494896471274,166,85334,,2684
1,30,RND,0.004210526315789474,0.0009954259782949154,1.0,12,85488,,2838
2,1,PureSVD,0.023157894736842106,0.023157894736842103,0.05016039661708953,66,2784,,2784
2,1,SIM,0.002807017543859649,0.002807017543859649,0.09507144940215806,8,2842,,2842
2,1,MP,0.004561403508771929,0.004561403508771929,0.0005832604257801109,13,2837,,2837
2,1,RND,0.0,0.0,0.342082239720035,0,2850,,2850
2,3,PureSVD,0.05368421052631579,0.03608187134502924,0.07917760279965004,153,8397,,2697
2,3,SIM,0.00631578947368421,0.0042690058479532165,0.20457859434237388,18,8532,,2832
2,3,MP,0.011929824561403509,0.007660818713450292,0.0008748906386701663,34,8516,,2816
2,3,RND,0.0007017543859649122,0.0003508771929824561,0.7150772820064158,2,8548,,2848
2,10,PureSVD,0.11228070175438597,0.045861459203564464,0.14596092155147272,320,28180,,2530
2,10,SIM,0.01929824561403509,0.006447089947089946,0.43671624380285795,55,28445,,2795
2,10,MP,0.02631578947368421,0.00991882483987747,0.0021872265966754157,75,28425,,2775
2,10,RND,0.0014035087719298245,0.00047368421052631577,0.9849810440361622,4,28496,,2846
2,20,PureSVD,0.1607017543859649,0.04918489335394989,0.2121609798775153,458,56542,,2392
2,20,SIM,0.03508771929824561,0.007517011288520168,0.6592300962379702,100,56900,,2750
2,20,MP,0.042105263157894736,0.010994414533317906,0.003937007874015748,120,56880,,2730
2,20,RND,0.004210526315789474,0.0006621597854284834,0.99970836978711,12,56988,,2838
2,30,PureSVD,0.18912280701754386,0.05031998620988759,0.27121609798775154,539,84961,,2311
2,30,SIM,0.047017543859649125,0.008004164517633996,0.7856517935258093,134,85364,,2716
2,30,MP,0.05719298245614035,0.011590018477747436,0.006124234470691163,163,85337,,2687
2,30,RND,0.00631578947368421,0.0007513676535837201,1.0,18,85482,,2832
3,1,PureSVD,0.024552788495264818,0.024552788495264814,0.05132691746864975,70,2781,,2781
3,1,SIM,0.003156787092248334,0.003156787092248334,0.09827938174394868,9,2842,,2842
3,1,MP,0.008418098912662224,0.008418098912662224,0.0005832604257801109,24,2827,,2827
3,1,RND,0.00035075412136092597,0.00035075412136092597,0.34222805482648,1,2850,,2850
3,3,PureSVD,0.0526131182041389,0.03659534666198994,0.07903178769320501,150,8403,,2701
3,3,SIM,0.008067344791301298,0.005144393779960248,0.20939049285505978,23,8530,,2828
3,3,MP,0.015082427218519818,0.011282590903776452,0.001020705745115194,43,8510,,2808
3,3,RND,0.0007015082427218519,0.00046767216181456796,0.715660542432196,2,8551,,2849
3,10,PureSVD,0.10417397404419503,0.04506772895057707,0.14333624963546224,297,28213,,2554
3,10,SIM,0.017186951946685375,0.006794190843647175,0.4294254884806066,49,28461,,2802
3,10,MP,0.032970887407927044,0.014405833653466062,0.0023330417031204435,94,28416,,2757
3,10,RND,0.00175377060680463,0.0005966995707437657,0.9848352289297171,5,28505,,2846
3,20,PureSVD,0.14380918975797966,0.04775443274754526,0.21186934966462526,410,56610,,2441
3,20,SIM,0.03472465801473167,0.00795004325043212,0.6550014581510645,99,56921,,2752
3,20,MP,0.0526131182041389,0.01573601590259696,0.004082822980460776,150,56870,,2701
3,20,RND,0.002104524728165556,0.0006173321661179378,0.99970836978711,6,57014,,2845
3,30,PureSVD,0.17713083128726761,0.04909701327678115,0.27150772820064156,505,85025,,2346
3,30,SIM,0.04840406874780779,0.008491925497521043,0.7901720618256052,138,85388,,2713
3,30,MP,0.06488951245177131,0.016203282543467434,0.0058326042578011085,185,85345,,2666
3,30,RND,0.003156787092248334,0.0006638996775719117,1.0,9,85521,,2842
4,1,PureSVD,0.027017543859649124,0.02701754385964912,0.050306211723534555,77,2773,,2773
4,1,SIM,0.0017543859649122807,0.0017543859649122805,0.09900845727617381,5,2845,,2845
4,1,MP,0.005263157894736842,0.005263157894736842,0.0004374453193350831,15,2835,,2835
4,1,RND,0.0003508771929824561,0.0003508771929824561,0.34193642461359,1,2849,,2849
4,3,PureSVD,0.056140350877192984,0.039356725146198826,0.08180227471566054,160,8390,,2690
4,3,SIM,0.005263157894736842,0.003157894736842105,0.20953630796150483,15,8535,,2835
4,3,MP,0.012982456140350877,0.008596491228070175,0.0008748906386701663,37,8513,,2813
4,3,RND,0.0007017543859649122,0.0004678362573099415,0.7153689122193059,2,8548,,2848
