type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM(cs),0.009475218658892129,0.009475218658892129,0.010385236123780787,13,1359,,1359
1,3,FM(cs),0.013119533527696793,0.01117589893100097,0.028840081397796646,18,4098,,1354
1,10,FM(cs),0.024052478134110787,0.012842160673793325,0.08567819802119149,33,13687,,1339
1,20,FM(cs),0.03206997084548105,0.013355223918264925,0.15430496105536454,44,27396,,1328
1,30,FM(cs),0.04227405247813411,0.013765164158053358,0.2143709213388534,58,41102,,1314
2,1,FM(cs),0.005105762217359592,0.005105762217359592,0.010665918181180269,7,1364,,1364
2,3,FM(cs),0.010211524434719184,0.007172380257719426,0.028629569854747034,14,4099,,1357
2,10,FM(cs),0.020423048869438368,0.008613513482222453,0.0849764928776928,28,13682,,1343
2,20,FM(cs),0.031363967906637494,0.009358781794525066,0.15612939442846116,43,27377,,1328
2,30,FM(cs),0.040846097738876735,0.009740029309579856,0.21928285734334432,56,41074,,1315
3,1,FM(cs),0.0036443148688046646,0.0036443148688046646,0.010385236123780787,5,1367,,1367
3,3,FM(cs),0.0058309037900874635,0.004494655004859086,0.028208546768647813,8,4108,,1364
3,10,FM(cs),0.016034985422740525,0.006397797214123744,0.08581853904989123,22,13698,,1350
3,20,FM(cs),0.030612244897959183,0.007359297064728109,0.15641007648586064,42,27398,,1330
3,30,FM(cs),0.03935860058309038,0.007718133480257388,0.21794961757069678,54,41106,,1318
4,1,FM(cs),0.005105762217359592,0.005105762217359592,0.009683530980282086,7,1364,,1364
4,3,FM(cs),0.011670313639679067,0.007537077558959397,0.02743667111079924,16,4097,,1355
4,10,FM(cs),0.018964259664478483,0.008540863464277031,0.08245035436109746,26,13684,,1345
4,20,FM(cs),0.031363967906637494,0.009397135443805408,0.1505859237948214,43,27377,,1328
4,30,FM(cs),0.0437636761487965,0.009891501979948647,0.20784506350431547,60,41070,,1311
5,1,FM(cs),0.002186588921282799,0.002186588921282799,0.010104554066381307,3,1369,,1369
5,3,FM(cs),0.007288629737609329,0.004373177842565598,0.028138376254297943,10,4106,,1362
5,10,FM(cs),0.016034985422740525,0.005853174603174603,0.08694126727948916,22,13698,,1350
5,20,FM(cs),0.028425655976676383,0.006806083953014154,0.15619956494281104,39,27401,,1333
5,30,FM(cs),0.034256559766763846,0.007036215688247929,0.21773910602764718,47,41113,,1325
