regularization,linear_regularization,rank,adagrad_momentum_weighting,FM(cs)
3e-08,3e-08,40,0.9,0.01116346198343283
3e-10,3e-06,40,0.99,0.008445555092785413
3e-08,3e-08,40,0.99,0.011201062057476051
1e-10,1e-08,40,0.95,0.01079816280253598
3e-09,1e-06,40,0.9,0.010442697487158127
3e-09,1e-06,40,0.95,0.010812913600814475
1e-08,3e-07,40,0.95,0.011181683557776852
1e-07,1e-06,40,0.9,0.014027141468832431
3e-09,3e-07,40,0.95,0.013654900735804526
1e-09,1e-07,40,0.9,0.007509313249109167
1e-10,3e-10,40,0.95,0.012926037762043593
1e-07,3e-06,40,0.95,0.012309396547734741
3e-07,3e-10,40,0.95,0.014001110648340968
1e-10,3e-09,40,0.9,0.009450923226433431
1e-09,1e-09,40,0.95,0.01207193761858485
1e-09,1e-09,40,0.9,0.009243255125179322
1e-07,3e-07,40,0.95,0.011511407284002035
1e-06,1e-06,40,0.95,0.009831551668286361
1e-07,3e-07,40,0.9,0.012342079689018463
1e-07,3e-10,40,0.99,0.009514554120968115
3e-10,1e-07,40,0.99,0.009620412790966728
1e-10,1e-06,40,0.99,0.012191679392845572
3e-10,3e-10,40,0.95,0.010197718543199593
3e-10,3e-10,40,0.9,0.009827502429543247
1e-09,1e-10,40,0.95,0.014143412467027626
1e-09,1e-10,40,0.9,0.010380801980656208
1e-10,1e-09,40,0.95,0.007537947151649775
3e-06,3e-09,40,0.99,0.008488361330926928
3e-10,1e-06,40,0.95,0.01108363413392568
3e-07,1e-07,40,0.9,0.011251677541765006
