rank,FM(cs)
1,0.008318871766393631
5,0.0073644083483733625
15,0.007851473922902495
30,0.007808667684760981
50,0.005875445416261742
75,0.000979915775834143
100,0.006469526586144662
150,0.011473228747281225
200,0.006759047156277477
250,0.0014403720671942245
300,0.00831800407237725
400,0.009282301355916516
500,0.007998114211671063
750,0.011505622657226156
1000,0.009074922486001204
1250,0.0081123605904947
1500,0.005104933129714471
1750,0.013037102596140496
2000,0.007458408533481419
2500,0.008127689851450784
3000,0.010179496968855568
