type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM,0.03298245614035088,0.03298245614035088,0.09186351706036745,94,2756,,2756
1,3,FM,0.06456140350877193,0.046315789473684206,0.1847477398658501,184,8366,,2666
1,10,FM,0.12596491228070175,0.05665510999721526,0.3881598133566638,359,28141,,2491
1,20,FM,0.18736842105263157,0.06072074333309464,0.5713035870516185,534,56466,,2316
1,30,FM,0.23403508771929823,0.0625942172743347,0.6878098571011957,667,84833,,2183
2,1,FM,0.028771929824561403,0.028771929824561403,0.09200933216681248,82,2768,,2768
2,3,FM,0.06666666666666667,0.04450292397660818,0.18591426071741032,190,8360,,2660
2,10,FM,0.1287719298245614,0.05512600946811473,0.38393117526975795,367,28133,,2483
2,20,FM,0.19017543859649122,0.0593573106791699,0.5580344123651211,542,56458,,2308
2,30,FM,0.22842105263157894,0.06088484771657042,0.6719160104986877,651,84849,,2199
3,1,FM,0.02981410031567871,0.02981410031567871,0.09259259259259259,85,2766,,2766
3,3,FM,0.07085233251490705,0.047351806383725006,0.17993584135316418,202,8351,,2649
3,10,FM,0.13539109084531742,0.05804702332236531,0.38655584718576846,386,28124,,2465
3,20,FM,0.18975797965626096,0.06172411036711,0.5707203266258385,541,56479,,2310
3,30,FM,0.23009470361276746,0.06334901659941615,0.6851851851851852,656,84874,,2195
4,1,FM,0.031228070175438598,0.031228070175438598,0.0889472149314669,89,2761,,2761
4,3,FM,0.06421052631578947,0.04485380116959064,0.17454068241469817,183,8367,,2667
4,10,FM,0.13824561403508773,0.05729184071289334,0.3759113444152814,394,28106,,2456
4,20,FM,0.1943859649122807,0.06120714851597204,0.552347623213765,554,56446,,2296
4,30,FM,0.24105263157894738,0.06308278066356031,0.6720618256051327,687,84813,,2163
5,1,FM,0.02736842105263158,0.027368421052631577,0.09025955088947214,78,2772,,2772
5,3,FM,0.0656140350877193,0.04333333333333333,0.1821230679498396,187,8363,,2663
5,10,FM,0.13578947368421052,0.05489292676134781,0.3887430737824439,387,28113,,2463
5,20,FM,0.19649122807017544,0.059145562564822785,0.5648877223680373,560,56440,,2290
5,30,FM,0.24210526315789474,0.060978548910818414,0.6832895888013998,690,84810,,2160
