regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
3e-08,3e-06,40,0.99,5.372584
1e-08,1e-10,40,0.99,5.360766
3e-10,3e-06,40,0.9,5.653214
1e-08,1e-10,40,0.95,5.300023
1e-06,1e-08,40,0.9,5.939656
1e-06,3e-09,40,0.99,5.66535
1e-09,1e-07,40,0.99,5.919418
1e-10,3e-10,40,0.95,5.683218
1e-07,3e-06,40,0.9,4.980206
3e-07,3e-07,40,0.95,5.417031
1e-06,3e-06,40,0.9,5.683978
3e-06,1e-09,40,0.95,5.27148
3e-09,3e-08,40,0.95,5.436938
1e-07,3e-09,40,0.99,4.74403
1e-07,1e-10,40,0.95,4.938993
3e-09,3e-10,40,0.9,5.31974
1e-08,3e-10,40,0.95,5.143334
3e-08,1e-07,40,0.9,5.229148
1e-09,1e-06,40,0.9,5.282572
1e-06,3e-08,40,0.95,5.439733
1e-09,1e-08,40,0.99,5.434046
1e-07,3e-08,40,0.99,5.439476
3e-09,1e-07,40,0.99,5.448988
1e-07,1e-07,40,0.99,5.336778
3e-06,3e-06,40,0.99,5.374004
1e-06,1e-07,40,0.95,5.664955
3e-08,1e-10,40,0.9,5.60149
1e-09,1e-10,40,0.99,5.521759
1e-10,1e-09,40,0.95,5.519863
1e-10,1e-07,40,0.95,5.085622
