regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
3e-08,3e-06,40,0.99,0.02368309663046505
1e-08,1e-10,40,0.99,0.026883458646616537
3e-10,3e-06,40,0.9,0.029136869952659426
1e-08,1e-10,40,0.95,0.029642717905875797
1e-06,1e-08,40,0.9,0.03462155388471178
1e-06,3e-09,40,0.99,0.03271428571428571
1e-09,1e-07,40,0.99,0.029725006961849064
1e-10,3e-10,40,0.95,0.029331801726538567
1e-07,3e-06,40,0.9,0.028502645502645498
3e-07,3e-07,40,0.95,0.03332776385407964
1e-06,3e-06,40,0.9,0.03197674742411584
3e-06,1e-09,40,0.95,0.039052353104984686
3e-09,3e-08,40,0.95,0.02755875800612642
1e-07,3e-09,40,0.99,0.02566764132553606
1e-07,1e-10,40,0.95,0.030436647173489276
3e-09,3e-10,40,0.9,0.024589111668059035
1e-08,3e-10,40,0.95,0.02911876914508493
3e-08,1e-07,40,0.9,0.02281537176274018
1e-09,1e-06,40,0.9,0.02618991924255082
1e-06,3e-08,40,0.95,0.03029281537176274
1e-09,1e-08,40,0.99,0.0278500417710944
1e-07,3e-08,40,0.99,0.02806599832915622
3e-09,1e-07,40,0.99,0.028531885268727374
1e-07,1e-07,40,0.99,0.026424672793093844
3e-06,3e-06,40,0.99,0.04458270676691729
1e-06,1e-07,40,0.95,0.031549568365357834
3e-08,1e-10,40,0.9,0.02433890281258702
1e-09,1e-10,40,0.99,0.02905959342801448
1e-10,1e-09,40,0.95,0.02828153717627402
1e-10,1e-07,40,0.95,0.02775034809245335
