rank,FM
1,0.050743803954330265
5,0.05319618490671122
15,0.04963422445001392
30,0.052774157616262876
50,0.03796477304372041
75,0.017116402116402116
100,0.05281119465329991
150,0.039376636034530774
200,0.051182678919521024
250,0.03151865775549986
300,0.052779727095516565
400,0.05253884711779448
500,0.050692982456140345
750,0.050601782233361176
1000,0.05485937064884433
1250,0.04769896964633806
1500,0.044684071289334444
1750,0.04489111668059036
2000,0.054477443609022555
2500,0.055211083263714836
3000,0.05271498189919242
