type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD(cs),0.016763848396501458,0.016763848396501458,0.006175005262788576,23,1349,,1349
1,3,HybridSVD(cs),0.030612244897959183,0.022108843537414966,0.017823310644867026,42,4074,,1330
1,10,HybridSVD(cs),0.06486880466472303,0.02755940811698829,0.056417093537295626,89,13631,,1283
1,20,HybridSVD(cs),0.0794460641399417,0.028497009292852066,0.1122728229597923,109,27331,,1263
1,30,HybridSVD(cs),0.09548104956268222,0.02911546937355442,0.1628657638060487,131,41029,,1241
2,1,HybridSVD(cs),0.010211524434719184,0.010211524434719184,0.006385516805838187,14,1357,,1357
2,3,HybridSVD(cs),0.0262582056892779,0.017262338925358618,0.0185951863027156,36,4077,,1335
2,10,HybridSVD(cs),0.06491611962071481,0.02313367603301958,0.06090800645568732,89,13621,,1282
2,20,HybridSVD(cs),0.08898614150255288,0.024823595632258267,0.11725492947863307,122,27298,,1249
2,30,HybridSVD(cs),0.10722100656455143,0.025582281696830772,0.169181110097537,147,40983,,1224
3,1,HybridSVD(cs),0.007288629737609329,0.00728862973760933,0.006175005262788576,10,1362,,1362
3,3,HybridSVD(cs),0.024052478134110787,0.013848396501457725,0.01796365167356677,33,4083,,1339
3,10,HybridSVD(cs),0.05830903790087463,0.01919165625433847,0.05732931022384394,80,13640,,1292
3,20,HybridSVD(cs),0.08819241982507289,0.021143130433002397,0.11115009473019437,121,27319,,1251
3,30,HybridSVD(cs),0.10932944606413994,0.022008512306914266,0.16216405866255,150,41010,,1222
4,1,HybridSVD(cs),0.009482129832239242,0.009482129832239242,0.005894323205389095,13,1358,,1358
4,3,HybridSVD(cs),0.024799416484318017,0.016046681254558715,0.016911093958318715,34,4079,,1337
4,10,HybridSVD(cs),0.060539752005835154,0.022227142741365936,0.05382078450635043,83,13627,,1288
4,20,HybridSVD(cs),0.08388037928519329,0.02380402889883891,0.10532594203915514,115,27305,,1256
4,30,HybridSVD(cs),0.10722100656455143,0.024739562794140184,0.1536734264262157,147,40983,,1224
5,1,HybridSVD(cs),0.0036443148688046646,0.0036443148688046646,0.005964493719738966,5,1367,,1367
5,3,HybridSVD(cs),0.016763848396501458,0.008989310009718175,0.017612799101817418,23,4093,,1349
5,10,HybridSVD(cs),0.04518950437317784,0.013468057290943587,0.056557434565995365,62,13658,,1310
5,20,HybridSVD(cs),0.07361516034985423,0.015357862462634823,0.10988702547189672,101,27339,,1271
5,30,HybridSVD(cs),0.09839650145772595,0.01633270831693417,0.1607606483755526,135,41025,,1237
