features_weight,rank,HybridSVD(cs)
0.1,3000,0.027050071729372023
0.1,2500,0.027015942431394324
0.1,2000,0.02755940811698829
0.1,1750,0.027386158545050672
0.1,1500,0.02692975149243371
0.1,1250,0.02661969549724652
0.1,1000,0.024322041741866814
0.1,750,0.025023427738442315
0.1,500,0.024642799296589385
0.1,400,0.02115380165671711
0.1,350,0.02105141376278402
0.1,300,0.018059894025637464
0.1,250,0.015024411124994214
0.1,200,0.010833159794530057
0.1,150,0.006274295432458698
0.1,125,0.010006247396917951
0.1,100,0.00848344439816743
0.1,75,0.009673342125966034
0.1,60,0.011968103567957794
0.1,50,0.014271252718774583
0.1,30,0.013298278495071498
0.1,20,0.018688682956175665
0.1,15,0.01620649960664538
0.1,10,0.01844862094497663
0.1,5,0.01812988800962562
0.1,1,0.013188370586329769
0.3,3000,0.026822157434402333
0.3,2500,0.02673133879402101
0.3,2000,0.02726786292748392
0.3,1750,0.02693466842519321
0.3,1500,0.026946816141422556
0.3,1250,0.02735376463510574
0.3,1000,0.025175274191309174
0.3,750,0.025240062011199035
0.3,500,0.022809072608635288
0.3,400,0.02232200703410616
0.3,350,0.020251689111018555
0.3,300,0.019735700402610024
0.3,250,0.015837151187005415
0.3,200,0.008989888472395761
0.3,150,0.008307591744180665
0.3,125,0.009311802952473507
0.3,100,0.010554919246610207
0.3,75,0.010563885418112824
0.3,60,0.015059408116988292
0.3,50,0.015070977370540053
0.3,30,0.01493561710398445
0.3,20,0.020471504928502013
0.3,15,0.01801853394418992
0.3,10,0.01924574251469295
0.3,5,0.018198725068258596
0.3,1,0.013123293535101114
0.5,3000,0.026718034152436485
0.5,2500,0.026943923828034615
0.5,2000,0.026930908417788883
0.5,1750,0.026812323568883335
0.5,1500,0.026778772733583228
0.5,1250,0.02724327826368643
0.5,1000,0.02488488592715998
0.5,750,0.02569733675783239
0.5,500,0.02205244342635013
0.5,400,0.020504766532463324
0.5,350,0.020057325651348976
0.5,300,0.019230702485075662
0.5,250,0.016728851404507382
0.5,200,0.011130200379471517
0.5,150,0.007662605858669998
0.5,125,0.01075940580313758
0.5,100,0.013112302744226942
0.5,75,0.01284042528576056
0.5,60,0.017574563839141098
0.5,50,0.01897010504882225
0.5,30,0.020615252903882643
0.5,20,0.022174209819982416
0.5,15,0.019000763570734415
0.5,10,0.01908666527835624
0.5,5,0.018293882178721826
0.5,1,0.013123293535101114
0.7,3000,0.026718034152436485
0.7,2500,0.02689533296311722
0.7,2000,0.026968219260493313
0.7,1750,0.02669489564533296
0.7,1500,0.026720926465824427
0.7,1250,0.026825338979129067
0.7,1000,0.025505576380211947
0.7,750,0.025185686519505764
0.7,500,0.022165822111157387
0.7,400,0.02054034198713499
0.7,350,0.019369822759035586
0.7,300,0.0183291684020547
0.7,250,0.017363714193160257
0.7,200,0.012143088527928178
0.7,150,0.009227636632884447
0.7,125,0.011497524179739923
0.7,100,0.011934263501318895
0.7,75,0.014310298949511777
0.7,60,0.020148433523069092
0.7,50,0.02099269980100884
0.7,30,0.023001411448933314
0.7,20,0.02313069785737424
0.7,15,0.01964198944884076
0.7,10,0.01896605581007913
0.7,5,0.018373999259567772
0.7,1,0.013123293535101114
0.9,3000,0.026756501920496088
0.9,2500,0.026761708084594382
0.9,2000,0.026887234485630986
0.9,1750,0.02660465546762923
0.9,1500,0.02644442130593734
0.9,1250,0.02684760979221621
0.9,1000,0.025603336572724327
0.9,750,0.024769771854319958
0.9,500,0.022326923966865656
0.9,400,0.020413658660743208
0.9,350,0.019651534083020963
0.9,300,0.01877169235040955
0.9,250,0.01765525938266463
0.9,200,0.011016243231986671
0.9,150,0.009979348882410106
0.9,125,0.012349888935165903
0.9,100,0.012338030450275348
0.9,75,0.014670391966310333
0.9,60,0.02026123374519876
0.9,50,0.02316482715535194
0.9,30,0.024108878245175623
0.9,20,0.023076900828358553
0.9,15,0.020075547225692998
0.9,10,0.018861932528113287
0.9,5,0.018426639363228282
0.9,1,0.013123293535101114
