type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD,0.02912280701754386,0.02912280701754386,0.052347623213764946,83,2767,,2767
1,3,HybridSVD,0.06,0.041929824561403505,0.08078156897054535,171,8379,,2679
1,10,HybridSVD,0.11017543859649123,0.05070258980785296,0.14727325750947798,314,28186,,2536
1,20,HybridSVD,0.16105263157894736,0.05424132824821271,0.22076407115777194,459,56541,,2391
1,30,HybridSVD,0.19508771929824562,0.05559771365175875,0.2777777777777778,556,84944,,2294
2,1,HybridSVD,0.023859649122807018,0.023859649122807015,0.051181102362204724,68,2782,,2782
2,3,HybridSVD,0.05719298245614035,0.03766081871345029,0.08253135024788569,163,8387,,2687
2,10,HybridSVD,0.11859649122807017,0.04793149540517962,0.15164771070282881,338,28162,,2512
2,20,HybridSVD,0.1694736842105263,0.05147449260737512,0.22061825605132693,483,56517,,2367
2,30,HybridSVD,0.20175438596491227,0.052756752229249144,0.28258967629046366,575,84925,,2275
3,1,HybridSVD,0.022448263767099262,0.022448263767099262,0.05380577427821522,64,2787,,2787
3,3,HybridSVD,0.052963872325499824,0.03612767450017537,0.08267716535433071,151,8402,,2700
3,10,HybridSVD,0.10662925289372151,0.04535334302082811,0.14771070282881307,304,28206,,2547
3,20,HybridSVD,0.15363030515608558,0.04853261375345583,0.22120151647710704,438,56582,,2413
3,30,HybridSVD,0.18098912662223782,0.04960284164457877,0.28244386118401865,516,85014,,2335
4,1,HybridSVD,0.02982456140350877,0.02982456140350877,0.05016039661708953,85,2765,,2765
4,3,HybridSVD,0.05473684210526316,0.04076023391812865,0.08267716535433071,156,8394,,2694
4,10,HybridSVD,0.11473684210526315,0.050781954887218046,0.14712744240303297,327,28173,,2523
4,20,HybridSVD,0.1617543859649123,0.05390845402251626,0.21813939924176146,461,56539,,2389
4,30,HybridSVD,0.1912280701754386,0.055073595930397325,0.28025663458734323,545,84955,,2305
5,1,HybridSVD,0.025964912280701753,0.025964912280701753,0.05220180810731992,74,2776,,2776
5,3,HybridSVD,0.05543859649122807,0.03842105263157894,0.08165645960921551,158,8392,,2692
5,10,HybridSVD,0.11473684210526315,0.04821177944862155,0.14698162729658792,327,28173,,2523
5,20,HybridSVD,0.16842105263157894,0.05186997817721298,0.21901428988043162,480,56520,,2370
5,30,HybridSVD,0.2063157894736842,0.05340640573997474,0.28069407990667833,588,84912,,2262
