alpha,beta,LCE
0.1,0.1,4.8530828496441245
0.1,0.05,3.4234220469370484
0.7,0.1,3.9024548958986998
0.9,0.05,3.199236126616597
0.7,0.0,3.7692057490348816
0.3,0.1,3.0095406491309404
0.5,0.0,2.8922916976734996
0.7,0.05,2.9694452937692404
0.9,0.1,3.08782675024122
0.7,0.3,3.0246338611468673
0.5,0.05,2.735413445159793
0.5,0.3,2.8601491041481495
0.5,0.1,2.8989284615963697
0.3,0.0,2.7413435392081738
0.9,0.3,2.7628085520118475
0.9,0.0,2.7162715597078204
0.3,0.3,2.623177319765091
0.1,0.0,2.76046244520694
0.3,0.05,2.8563214391469955
0.1,0.3,2.796351005323231
