type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE(cs),0.01020408163265306,0.010204081632653062,0.00028068205739948076,14,1358,,1358
1,3,LCE(cs),0.016034985422740525,0.012755102040816327,0.0004911936004490913,22,4094,,1350
1,10,LCE(cs),0.027696793002915453,0.014414422231477625,0.0018244333730966249,38,13682,,1334
1,20,LCE(cs),0.03717201166180758,0.015089091747255012,0.00378920777489299,51,27389,,1321
1,30,LCE(cs),0.04518950437317784,0.01539878871685818,0.005543470633639745,62,41098,,1310
2,1,LCE(cs),0.007293946024799417,0.007293946024799417,0.00028068205739948076,10,1361,,1361
2,3,LCE(cs),0.010211524434719184,0.008509603695599319,0.0004210230860992211,14,4099,,1357
2,10,LCE(cs),0.024070021881838075,0.010676079330346288,0.0016840923443968844,33,13677,,1338
2,20,LCE(cs),0.040846097738876735,0.01185499705740406,0.0035085257174935092,56,27364,,1315
2,30,LCE(cs),0.04886943836615609,0.012199956224073815,0.005332959090590134,67,41063,,1304
3,1,LCE(cs),0.0058309037900874635,0.005830903790087464,0.00028068205739948076,8,1364,,1364
3,3,LCE(cs),0.01020408163265306,0.007653061224489796,0.0003508525717493509,14,4102,,1358
3,10,LCE(cs),0.016034985422740525,0.008585253829422925,0.0017542628587467546,22,13698,,1350
3,20,LCE(cs),0.03206997084548105,0.009703698150684087,0.003438355203143639,44,27396,,1328
3,30,LCE(cs),0.03717201166180758,0.009906419976868962,0.005613641147989614,51,41109,,1321
4,1,LCE(cs),0.0029175784099197666,0.0029175784099197666,0.00028068205739948076,4,1367,,1367
4,3,LCE(cs),0.014587892049598834,0.007537077558959397,0.0004210230860992211,20,4093,,1351
4,10,LCE(cs),0.030634573304157548,0.009901242286362636,0.0016139218300470143,42,13668,,1329
4,20,LCE(cs),0.04157549234135667,0.010664949895003887,0.0033681846887937687,57,27363,,1314
4,30,LCE(cs),0.04886943836615609,0.01094764280765097,0.004841765490141043,67,41063,,1304
5,1,LCE(cs),0.0058309037900874635,0.0058309037900874635,0.00028068205739948076,8,1364,,1364
5,3,LCE(cs),0.008017492711370262,0.006559766763848397,0.0004210230860992211,11,4105,,1361
5,10,LCE(cs),0.021865889212827987,0.008701235596279328,0.0018244333730966249,30,13690,,1342
5,20,LCE(cs),0.03717201166180758,0.009765219996521163,0.0035085257174935092,51,27389,,1321
5,30,LCE(cs),0.04664723032069971,0.010145087309634683,0.005192618061890393,64,41096,,1308
