alpha,beta,LCE(cs)
0.3,0.1,0.012609040214725344
0.5,0.3,0.011604829006432504
0.1,0.1,0.011892324957193761
0.7,0.05,0.011383277800916284
0.5,0.0,0.011548139664028876
0.3,0.05,0.01417898792169929
0.3,0.3,0.010999467814336618
0.7,0.3,0.011904183442084316
0.7,0.0,0.0114793026053959
0.1,0.3,0.011076403350455828
0.5,0.05,0.009165162663704937
0.5,0.1,0.009122645656902215
0.9,0.3,0.01176766625017354
0.3,0.0,0.012611354065435697
0.9,0.1,0.01156925355176084
0.9,0.05,0.012035783701235597
0.9,0.0,0.011542065805914202
0.1,0.0,0.010911252256004443
0.7,0.1,0.011606853625804063
0.1,0.05,0.009416793928455736
