type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE,0.02982456140350877,0.02982456140350877,0.022455526392534265,85,2765,,2765
1,3,LCE,0.055087719298245616,0.04087719298245614,0.035724701079031786,157,8393,,2693
1,10,LCE,0.11614035087719299,0.0510079365079365,0.06838728492271799,331,28169,,2519
1,20,LCE,0.16596491228070176,0.05448584995171275,0.10965296004666084,473,56527,,2377
1,30,LCE,0.20385964912280702,0.056026396381677626,0.14202391367745698,581,84919,,2269
2,1,LCE,0.030175438596491227,0.030175438596491223,0.020705745115193935,86,2764,,2764
2,3,LCE,0.055087719298245616,0.040701754385964906,0.035287255759696705,157,8393,,2693
2,10,LCE,0.10877192982456141,0.04954775828460039,0.06867891513560805,310,28190,,2540
2,20,LCE,0.15719298245614036,0.052802648833975216,0.10557013706620005,448,56552,,2402
2,30,LCE,0.19087719298245615,0.054142692671686,0.1383785360163313,544,84956,,2306
3,1,LCE,0.029463346194317782,0.02946334619431778,0.0215806357538641,84,2767,,2767
3,3,LCE,0.06068046299544019,0.042908920846486606,0.03543307086614173,173,8380,,2678
3,10,LCE,0.11925640126271483,0.052754533357830445,0.0657626130067075,340,28170,,2511
3,20,LCE,0.16801122413188355,0.05606928138827216,0.10615339749198018,479,56541,,2372
3,30,LCE,0.19852683269028412,0.05729138897987478,0.14085739282589677,566,84964,,2285
4,1,LCE,0.030526315789473683,0.030526315789473683,0.02230971128608924,87,2763,,2763
4,3,LCE,0.06280701754385964,0.04421052631578947,0.03514144065325168,179,8371,,2671
4,10,LCE,0.11543859649122808,0.05298927875243664,0.06809565470982794,329,28171,,2521
4,20,LCE,0.163859649122807,0.05630056121827345,0.10469524642752989,467,56533,,2383
4,30,LCE,0.19824561403508772,0.05766222160865106,0.1385243511227763,565,84935,,2285
5,1,LCE,0.027719298245614036,0.027719298245614032,0.02026829979585885,79,2771,,2771
5,3,LCE,0.061754385964912284,0.04245614035087719,0.0347039953339166,176,8374,,2674
5,10,LCE,0.12105263157894737,0.05192759676970203,0.0663458734324876,345,28155,,2505
5,20,LCE,0.1726315789473684,0.05548890115400625,0.10527850685331,492,56508,,2358
5,30,LCE,0.2094736842105263,0.0569630993765908,0.13808690580344124,597,84903,,2253
