alpha,beta,LCE
0.1,0.1,0.0424782790309106
0.1,0.05,0.04231982734614313
0.7,0.1,0.016748538011695905
0.9,0.05,0.007358256752993595
0.7,0.0,0.016412419938735726
0.3,0.1,0.03820272904483431
0.5,0.0,0.028704399888610413
0.7,0.05,0.01691757170704539
0.9,0.1,0.006428153717627401
0.7,0.3,0.016282511835143412
0.5,0.05,0.02987315510999721
0.5,0.3,0.0286849067112225
0.5,0.1,0.030099693678641043
0.3,0.0,0.039533695349484824
0.9,0.3,0.003140629351155667
0.9,0.0,0.0064211918685602885
0.3,0.3,0.03877304372041214
0.1,0.0,0.04144820384294068
0.3,0.05,0.038138680033416875
0.1,0.3,0.04298663324979114
