type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs(cs),0.013848396501457727,0.013848396501457725,0.005403129604940004,19,1353,,1353
1,3,HybridSVDs(cs),0.03206997084548105,0.021258503401360544,0.014314784927373517,44,4072,,1328
1,10,HybridSVDs(cs),0.061224489795918366,0.025995245036790224,0.03922531752157744,84,13636,,1288
1,20,HybridSVDs(cs),0.08163265306122448,0.027380772560827667,0.07445091572521227,112,27328,,1260
1,30,HybridSVDs(cs),0.09475218658892129,0.027890329357313885,0.10848361518489931,130,41030,,1242
2,1,HybridSVDs(cs),0.01312910284463895,0.01312910284463895,0.005824152691039225,18,1353,,1353
2,3,HybridSVDs(cs),0.027716994894237783,0.019328956965718454,0.01508666058522209,38,4075,,1333
2,10,HybridSVDs(cs),0.061269146608315096,0.024650064256191172,0.04126026243772367,84,13626,,1287
2,20,HybridSVDs(cs),0.08825674690007294,0.026523039737502075,0.0776787593853063,121,27299,,1250
2,30,HybridSVDs(cs),0.10357403355215171,0.027134712389904912,0.11318503964634061,142,40988,,1229
3,1,HybridSVDs(cs),0.008017492711370262,0.008017492711370262,0.005332959090590134,11,1361,,1361
3,3,HybridSVDs(cs),0.02478134110787172,0.014698736637512148,0.013472738755175075,34,4082,,1338
3,10,HybridSVDs(cs),0.05029154518950437,0.01895651117589893,0.03880429443547821,69,13651,,1303
3,20,HybridSVDs(cs),0.08381924198250729,0.021286412528576687,0.07452108623956213,115,27325,,1257
3,30,HybridSVDs(cs),0.10714285714285714,0.022231108366658557,0.10925549084274788,147,41013,,1225
4,1,HybridSVDs(cs),0.01312910284463895,0.01312910284463895,0.005613641147989614,18,1353,,1353
4,3,HybridSVDs(cs),0.024070021881838075,0.01762703622659859,0.013121886183425725,33,4080,,1338
4,10,HybridSVDs(cs),0.05689277899343545,0.023232665300499,0.03676934951933198,78,13632,,1293
4,20,HybridSVDs(cs),0.08023340627279359,0.02491569290308883,0.07157392463686758,110,27310,,1261
4,30,HybridSVDs(cs),0.10138584974471189,0.025757789064073687,0.10483474843870605,139,40991,,1232
5,1,HybridSVDs(cs),0.004373177842565598,0.004373177842565598,0.005473300119289874,6,1366,,1366
5,3,HybridSVDs(cs),0.015306122448979591,0.008746355685131196,0.013472738755175075,21,4095,,1351
5,10,HybridSVDs(cs),0.04154518950437318,0.013214112175482438,0.0378920777489299,57,13663,,1315
5,20,HybridSVDs(cs),0.0728862973760933,0.015354967146661267,0.07374921058171356,100,27340,,1272
5,30,HybridSVDs(cs),0.09256559766763849,0.016173852592722922,0.10939583187144762,127,41033,,1245
