features_weight,rank,HybridSVDs(cs)
0.1,500,0.025882155583321763
0.1,400,0.024105407469110093
0.1,350,0.022609213753528624
0.1,300,0.020547572770604837
0.1,250,0.017238477023462446
0.1,200,0.010548266925817947
0.1,150,0.008580915359341015
0.1,125,0.008252059327132213
0.1,100,0.01343884492572539
0.1,75,0.015663033921051416
0.1,60,0.01947915220509973
0.1,50,0.017688810217964736
0.1,30,0.01766827479291036
0.1,20,0.01991242075061317
0.1,15,0.02043968948123467
0.1,10,0.01862852283770651
0.1,5,0.018792806238141516
0.1,1,0.013113459669582116
0.3,500,0.025995245036790224
0.3,400,0.024454509695034477
0.3,350,0.02336034754037669
0.3,300,0.01961971863575362
0.3,250,0.016283435142764587
0.3,200,0.010593387014669813
0.3,150,0.01164763524457402
0.3,125,0.010416088203989078
0.3,100,0.013622506825859595
0.3,75,0.01508370354944699
0.3,60,0.017900238326623165
0.3,50,0.018935397288166966
0.3,30,0.02145228839835254
0.3,20,0.022212966819380814
0.3,15,0.023026574575408396
0.3,10,0.019331065759637188
0.3,5,0.018480725623582765
0.3,1,0.013045201073626729
0.5,500,0.02495256606043778
0.5,400,0.024351543338423806
0.5,350,0.023494261650238324
0.5,300,0.019617404785043268
0.5,250,0.017598280808922208
0.5,200,0.012606726364014994
0.5,150,0.013028714887315471
0.5,125,0.012098546901753899
0.5,100,0.014088747743995557
0.5,75,0.016167164144569392
0.5,60,0.020194132074598546
0.5,50,0.020411923272710443
0.5,30,0.023322169003655885
0.5,20,0.022604296820769122
0.5,15,0.02206950807533898
0.5,10,0.019381970475264937
0.5,5,0.018644430561340183
0.5,1,0.013045201073626729
0.7,500,0.025567761118052663
0.7,400,0.02459594381970475
0.7,350,0.022274283863205145
0.7,300,0.01990085149706141
0.7,250,0.017145055301031976
0.7,200,0.01260788328937017
0.7,150,0.012245765653200055
0.7,125,0.013222499884307464
0.7,100,0.016005773057522328
0.7,75,0.017443542042667407
0.7,60,0.019674383358785692
0.7,50,0.02252620435929474
0.7,30,0.024305555555555552
0.7,20,0.023413276875376
0.7,15,0.022040874172798368
0.7,10,0.019330487296959603
0.7,5,0.019067865241334626
0.7,1,0.013045201073626729
0.9,500,0.02510007404322273
0.9,400,0.025012147716229352
0.9,350,0.02267458003609607
0.9,300,0.02038762784025175
0.9,250,0.017422138923596647
0.9,200,0.011965500485908649
0.9,150,0.011032440186959137
0.9,125,0.013590402147253459
0.9,100,0.017268557082697027
0.9,75,0.018674221389235968
0.9,60,0.01953989078624647
0.9,50,0.021979557128974037
0.9,30,0.024704405571752512
0.9,20,0.023376833726687953
0.9,15,0.0221169420149012
0.9,10,0.019117902262945994
0.9,5,0.019067865241334626
0.9,1,0.013045201073626729
