type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs,0.03929824561403509,0.03929824561403508,0.10804899387576553,112,2738,,2738
1,3,HybridSVDs,0.0856140350877193,0.05923976608187134,0.21493146689997084,244,8306,,2606
1,10,HybridSVDs,0.156140350877193,0.0711651350598719,0.452610090405366,445,28055,,2405
1,20,HybridSVDs,0.21228070175438596,0.07492242207909472,0.6426071741032371,605,56395,,2245
1,30,HybridSVDs,0.2487719298245614,0.07638578513080832,0.7395742198891805,709,84791,,2141
2,1,HybridSVDs,0.03543859649122807,0.035438596491228075,0.10513269174686497,101,2749,,2749
2,3,HybridSVDs,0.07929824561403509,0.0539766081871345,0.2163896179644211,226,8324,,2624
2,10,HybridSVDs,0.15263157894736842,0.06652701197438039,0.4566929133858268,435,28065,,2415
2,20,HybridSVDs,0.20350877192982456,0.07001263800563132,0.6466899970836979,580,56420,,2270
2,30,HybridSVDs,0.2424561403508772,0.07154483905365078,0.7419072615923009,691,84809,,2159
3,1,HybridSVDs,0.0336723956506489,0.03367239565064889,0.10731991834354039,96,2755,,2755
3,3,HybridSVDs,0.07751666082076464,0.052905413305273,0.21493146689997084,221,8332,,2630
3,10,HybridSVDs,0.15152578042792003,0.06494560527356037,0.45129775444736075,432,28078,,2419
3,20,HybridSVDs,0.21150473518063836,0.0691333979650881,0.6393992417614465,603,56417,,2248
3,30,HybridSVDs,0.24868467204489653,0.0706096407094148,0.7426363371245261,709,84821,,2142
4,1,HybridSVDs,0.035789473684210524,0.035789473684210524,0.10673665791776028,102,2748,,2748
4,3,HybridSVDs,0.0775438596491228,0.054327485380116954,0.21361913094196558,221,8329,,2629
4,10,HybridSVDs,0.15403508771929825,0.06767376775271512,0.4461942257217848,439,28061,,2411
4,20,HybridSVDs,0.20877192982456141,0.07144473420471464,0.6407115777194518,595,56405,,2255
4,30,HybridSVDs,0.24842105263157896,0.0730159806226614,0.7405949256342957,708,84792,,2142
5,1,HybridSVDs,0.04,0.039999999999999994,0.10498687664041995,114,2736,,2736
5,3,HybridSVDs,0.08456140350877193,0.05935672514619883,0.21507728200641588,241,8309,,2609
5,10,HybridSVDs,0.1550877192982456,0.07137259816207184,0.4521726450860309,442,28058,,2408
5,20,HybridSVDs,0.2150877192982456,0.07559118382387081,0.647273257509478,613,56387,,2237
5,30,HybridSVDs,0.25333333333333335,0.07709076852684854,0.7433654126567513,722,84778,,2128
