features_weight,rank,HybridSVDs
0.1,500,0.06678863826232247
0.1,400,0.06858117516012252
0.1,350,0.06956697298802561
0.1,300,0.07058883319409635
0.1,250,0.06937691450849345
0.1,200,0.06807741576162628
0.1,150,0.06579030910609858
0.1,125,0.0628042328042328
0.1,100,0.06287677527151211
0.1,75,0.055828460038986345
0.1,60,0.05543386243386243
0.1,50,0.052153021442495125
0.1,30,0.04584419381787803
0.1,20,0.035030353661932606
0.1,15,0.027779030910609858
0.1,10,0.025068643831801726
0.1,5,0.016142996379838483
0.1,1,0.0048710665552770815
0.3,500,0.06688123085491507
0.3,400,0.06962976886661096
0.3,350,0.06972041214146477
0.3,300,0.0711651350598719
0.3,250,0.06837440824282928
0.3,200,0.06646811473127262
0.3,150,0.06435045948203842
0.3,125,0.06321303258145364
0.3,100,0.05923809523809523
0.3,75,0.054792119186856024
0.3,60,0.052511695906432745
0.3,50,0.05093887496519075
0.3,30,0.04141840712893344
0.3,20,0.03297632971317181
0.3,15,0.026705792258423837
0.3,10,0.025388471177944863
0.3,5,0.016497911445279866
0.3,1,0.004731272626009468
0.5,500,0.0671255917571707
0.5,400,0.06961556669451405
0.5,350,0.0700751879699248
0.5,300,0.07024979114452798
0.5,250,0.06805012531328321
0.5,200,0.06570996936786411
0.5,150,0.0629601782233361
0.5,125,0.062029935950988574
0.5,100,0.058445001392369814
0.5,75,0.05272653856864383
0.5,60,0.049444305207463096
0.5,50,0.04905959342801448
0.5,30,0.040170983013088274
0.5,20,0.030366193260930104
0.5,15,0.026981620718462822
0.5,10,0.02468240044555834
0.5,5,0.01656516290726817
0.5,1,0.004731272626009468
0.7,500,0.06676287942077416
0.7,400,0.06799986076301864
0.7,350,0.06877568922305764
0.7,300,0.06824255082149819
0.7,250,0.06624881648565858
0.7,200,0.0649450013923698
0.7,150,0.06023015873015873
0.7,125,0.061248816485658594
0.7,100,0.057734196602617645
0.7,75,0.051177109440267335
0.7,60,0.04743455861876914
0.7,50,0.04511584516847675
0.7,30,0.03869618490671122
0.7,20,0.028914508493455858
0.7,15,0.027024644945697576
0.7,10,0.024149679754942914
0.7,5,0.016719298245614037
0.7,1,0.004731272626009468
0.9,500,0.06651420217209691
0.9,400,0.06780840991367307
0.9,350,0.06677930938457254
0.9,300,0.06727708159287106
0.9,250,0.06444486215538847
0.9,200,0.06295767195767196
0.9,150,0.06022250069618491
0.9,125,0.059280423280423274
0.9,100,0.0558510164299638
0.9,75,0.04790420495683653
0.9,60,0.04549526594263436
0.9,50,0.04303453077137287
0.9,30,0.03774812030075188
0.9,20,0.028497354497354493
0.9,15,0.026694653299916455
0.9,10,0.02343065998329156
0.9,5,0.016710526315789474
0.9,1,0.004731272626009468
