type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs(cs),0.016763848,0.016763848,0.006525858,23,1349,,1349
1,3,PureSVDs(cs),0.029883382,0.022351798,0.018314504,41,4075,,1331
1,10,PureSVDs(cs),0.061953353,0.027812196,0.054311978,85,13635,,1287
1,20,PureSVDs(cs),0.083819242,0.029247532,0.104975089,115,27325,,1257
1,30,PureSVDs(cs),0.101311953,0.0299329,0.152620869,139,41021,,1233
2,1,PureSVDs(cs),0.012399708,0.012399708,0.006596028,17,1354,,1354
2,3,PureSVDs(cs),0.0269876,0.018477997,0.018805698,37,4076,,1334
2,10,PureSVDs(cs),0.06345733,0.024333704,0.057539822,87,13623,,1284
2,20,PureSVDs(cs),0.089715536,0.026174557,0.110027367,123,27297,,1248
2,30,PureSVDs(cs),0.110138585,0.026979191,0.159988773,151,40979,,1220
3,1,PureSVDs(cs),0.009475219,0.009475219,0.006315346,13,1359,,1359
3,3,PureSVDs(cs),0.022594752,0.015184645,0.017963652,31,4085,,1341
3,10,PureSVDs(cs),0.059037901,0.021232183,0.054311978,81,13639,,1291
3,20,PureSVDs(cs),0.087463557,0.02312546,0.104764578,120,27320,,1252
3,30,PureSVDs(cs),0.108600583,0.023994143,0.151077117,149,41011,,1223
4,1,PureSVDs(cs),0.013858497,0.013858497,0.006175005,19,1352,,1352
4,3,PureSVDs(cs),0.022611233,0.017262339,0.017191776,31,4082,,1340
4,10,PureSVDs(cs),0.060539752,0.023823417,0.051154305,83,13627,,1288
4,20,PureSVDs(cs),0.083880379,0.025479305,0.09816855,115,27305,,1256
4,30,PureSVDs(cs),0.108679796,0.026442936,0.143428531,149,40981,,1222
5,1,PureSVDs(cs),0.002915452,0.002915452,0.006245176,4,1368,,1368
5,3,PureSVDs(cs),0.016034985,0.008503401,0.016981264,22,4094,,1350
5,10,PureSVDs(cs),0.043002915,0.01300037,0.052417374,59,13661,,1313
5,20,PureSVDs(cs),0.079446064,0.015491894,0.102519121,109,27331,,1263
5,30,PureSVDs(cs),0.097667638,0.016211818,0.149884219,134,41026,,1238
