col_scaling,rank,PureSVDs(cs)
0.2,3000,0.022592438
0.2,2500,0.026413474
0.2,2000,0.026174858
0.2,1750,0.024245974
0.2,1500,0.026056562
0.2,1250,0.026672046
0.2,1000,0.027080152
0.2,750,0.025325385
0.2,500,0.023496865
0.2,400,0.024234115
0.2,350,0.020373745
0.2,300,0.020056747
0.2,250,0.017283308
0.2,200,0.014843063
0.2,150,0.010270026
0.2,125,0.009103556
0.2,100,0.013914341
0.2,75,0.015832523
0.2,60,0.016149521
0.2,50,0.013229731
0.2,30,0.015404461
0.2,20,0.011045166
0.2,15,0.01059223
0.2,10,0.010901708
0.2,5,0.015307858
0.2,1,0.013718532
0.4,3000,0.02767539
0.4,2500,0.026596268
0.4,2000,0.026579782
0.4,1750,0.027660061
0.4,1500,0.027518916
0.4,1250,0.027548417
0.4,1000,0.027060484
0.4,750,0.023183916
0.4,500,0.022052443
0.4,400,0.021850271
0.4,350,0.019439817
0.4,300,0.018702277
0.4,250,0.017299794
0.4,200,0.014669814
0.4,150,0.00891035
0.4,125,0.012185895
0.4,100,0.015405618
0.4,75,0.013421491
0.4,60,0.015535483
0.4,50,0.012643748
0.4,30,0.014459832
0.4,20,0.011109376
0.4,15,0.010709369
0.4,10,0.012614825
0.4,5,0.014951525
0.4,1,0.013752082
0.6,3000,0.027330915
0.6,2500,0.027565771
0.6,2000,0.027523833
0.6,1750,0.027492306
0.6,1500,0.027812196
0.6,1250,0.027614651
0.6,1000,0.025836457
0.6,750,0.023093676
0.6,500,0.02178288
0.6,400,0.021313168
0.6,350,0.019940476
0.6,300,0.018203931
0.6,250,0.01713204
0.6,200,0.014924048
0.6,150,0.010417824
0.6,125,0.009370228
0.6,100,0.01471262
0.6,75,0.015856819
0.6,60,0.014028877
0.6,50,0.012434344
0.6,30,0.014406035
0.6,20,0.012419015
0.6,15,0.010292297
0.6,10,0.011402946
0.6,5,0.01266544
0.6,1,0.013401534
