type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs,0.04035087719298246,0.04035087719298246,0.10513269174686497,115,2735,,2735
1,3,PureSVDs,0.08701754385964912,0.06046783625730994,0.2142023913677457,248,8302,,2602
1,10,PureSVDs,0.1568421052631579,0.07182372598162072,0.44983960338291046,447,28053,,2403
1,20,PureSVDs,0.2073684210526316,0.07529613001317417,0.6393992417614465,591,56409,,2259
1,30,PureSVDs,0.24561403508771928,0.0768344980409738,0.7299504228638087,700,84800,,2150
2,1,PureSVDs,0.03263157894736842,0.032631578947368414,0.10527850685331,93,2757,,2757
2,3,PureSVDs,0.07508771929824562,0.05058479532163742,0.2174103237095363,214,8336,,2636
2,10,PureSVDs,0.14982456140350878,0.06386215538847116,0.4555263925342666,427,28073,,2423
2,20,PureSVDs,0.2031578947368421,0.06757971426457657,0.636774569845436,579,56421,,2271
2,30,PureSVDs,0.23859649122807017,0.06899836517401367,0.7324292796733741,680,84820,,2170
3,1,PureSVDs,0.03753069098561908,0.03753069098561908,0.10717410323709536,107,2744,,2744
3,3,PureSVDs,0.07856892318484743,0.05536069215479948,0.21653543307086615,224,8329,,2627
3,10,PureSVDs,0.1483689933356717,0.06681740742596583,0.44969378827646544,423,28087,,2428
3,20,PureSVDs,0.2104524728165556,0.07108758863641187,0.6347331583552056,600,56420,,2251
3,30,PureSVDs,0.23921431076815153,0.0722328439773938,0.731554389034704,682,84848,,2169
4,1,PureSVDs,0.039649122807017545,0.03964912280701754,0.10484106153397492,113,2737,,2737
4,3,PureSVDs,0.08175438596491227,0.05730994152046784,0.2121609798775153,233,8317,,2617
4,10,PureSVDs,0.15017543859649124,0.06900710108604845,0.4477981918926801,428,28072,,2422
4,20,PureSVDs,0.20280701754385966,0.07260763520874323,0.6329833770778652,578,56422,,2272
4,30,PureSVDs,0.24385964912280703,0.0742825840268915,0.7321376494604841,695,84805,,2155
5,1,PureSVDs,0.041403508771929824,0.04140350877192982,0.10557013706620005,118,2732,,2732
5,3,PureSVDs,0.0824561403508772,0.05900584795321637,0.2162438028579761,235,8315,,2615
5,10,PureSVDs,0.15578947368421053,0.07143984962406015,0.4510061242344707,444,28056,,2406
5,20,PureSVDs,0.21859649122807018,0.07578815779993064,0.6423155438903471,623,56377,,2227
5,30,PureSVDs,0.2505263157894737,0.07707223089883053,0.7370953630796151,714,84786,,2136
