col_scaling,rank,PureSVDs
0.2,3000,0.037372319688109154
0.2,2500,0.04396560846560846
0.2,2000,0.05014856585909217
0.2,1750,0.05293567251461988
0.2,1500,0.05810957950431634
0.2,1250,0.06410512392091339
0.2,1000,0.06816026176552492
0.2,750,0.06941812865497077
0.2,500,0.0692027290448343
0.2,400,0.0680797827903091
0.2,350,0.06911876914508493
0.2,300,0.06859328877749929
0.2,250,0.06732261208576998
0.2,200,0.06451754385964913
0.2,150,0.060062099693678636
0.2,125,0.0570942634363687
0.2,100,0.05539598997493734
0.2,75,0.049438178780284045
0.2,60,0.044688666109718736
0.2,50,0.04303007518796992
0.2,30,0.03732818156502367
0.2,20,0.026956001113895848
0.2,15,0.01587371205792258
0.2,10,0.01278237259816207
0.2,5,0.005428710665552771
0.2,1,8.911166805903647e-05
0.4,3000,0.028123642439431912
0.4,2500,0.03387691450849345
0.4,2000,0.03891938178780284
0.4,1750,0.04311946532999165
0.4,1500,0.04891241993873573
0.4,1250,0.053714981899192424
0.4,1000,0.05858159287106655
0.4,750,0.061653717627401836
0.4,500,0.06383695349484822
0.4,400,0.06749916457811195
0.4,350,0.0688160679476469
0.4,300,0.07182372598162072
0.4,250,0.07026594263436367
0.4,200,0.0663553327763854
0.4,150,0.06504330270119743
0.4,125,0.06307142857142857
0.4,100,0.0626895015316068
0.4,75,0.05704191033138401
0.4,60,0.05351824004455583
0.4,50,0.051141047062099695
0.4,30,0.04517738791423002
0.4,20,0.037528404344193814
0.4,15,0.031117794486215537
0.4,10,0.020835421888053464
0.4,5,0.01058744082428293
0.4,1,0.0013032581453634087
0.6,3000,0.024702589807852966
0.6,2500,0.02909871901977165
0.6,2000,0.03204274575327207
0.6,1750,0.03607435254803676
0.6,1500,0.03964118629908103
0.6,1250,0.041858674463937616
0.6,1000,0.04676886661097187
0.6,750,0.05246463380673906
0.6,500,0.05740754664438875
0.6,400,0.05997382344750765
0.6,350,0.060885964912280696
0.6,300,0.06157644110275689
0.6,250,0.06082177666388192
0.6,200,0.06015051517683096
0.6,150,0.06004511278195488
0.6,125,0.05988833194096352
0.6,100,0.0587834864940128
0.6,75,0.05827304372041214
0.6,60,0.05607922584238373
0.6,50,0.05285839598997494
0.6,30,0.04671470342522974
0.6,20,0.04014578111946533
0.6,15,0.03487301587301587
0.6,10,0.02994458368142578
0.6,5,0.019593567251461986
0.6,1,0.00456516290726817
