type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,SGD,0.034035087719298245,0.034035087719298245,0.08121901428988043,97,2753,,2753
1,3,SGD,0.07543859649122807,0.052046783625730994,0.1547098279381744,215,8335,,2635
1,10,SGD,0.1424561403508772,0.06312754107490949,0.31977252843394577,406,28094,,2444
1,20,SGD,0.21228070175438596,0.06792479731627524,0.4699620880723243,605,56395,,2245
1,30,SGD,0.2519298245614035,0.06953584698721864,0.5743657042869641,718,84782,,2132
2,1,SGD,0.034035087719298245,0.034035087719298245,0.08063575386410032,97,2753,,2753
2,3,SGD,0.06947368421052631,0.048888888888888885,0.16170895304753571,198,8352,,2652
2,10,SGD,0.13964912280701755,0.06048092453355611,0.32341790609507143,398,28102,,2452
2,20,SGD,0.20035087719298245,0.06466436129818075,0.4673374161563138,571,56429,,2279
2,30,SGD,0.24175438596491228,0.0663283012742778,0.5762613006707495,689,84811,,2161
3,1,SGD,0.032970887407927044,0.032970887407927044,0.07888597258675999,94,2757,,2757
3,3,SGD,0.07541213609259909,0.05156085584005611,0.15850102070574512,215,8338,,2636
3,10,SGD,0.14240617327253596,0.06260752284077432,0.31671041119860016,406,28104,,2445
3,20,SGD,0.2076464398456682,0.0670099099515398,0.47142023913677455,592,56428,,2259
3,30,SGD,0.2493861802876184,0.06867793215602913,0.5810731991834354,711,84819,,2140
4,1,SGD,0.037894736842105266,0.03789473684210526,0.08136482939632546,108,2742,,2742
4,3,SGD,0.07614035087719298,0.05456140350877193,0.15558471857684456,217,8333,,2633
4,10,SGD,0.14912280701754385,0.0664802283486494,0.3257509477981919,425,28075,,2425
4,20,SGD,0.20596491228070177,0.0702843707297838,0.47083697871099445,587,56413,,2263
4,30,SGD,0.24561403508771928,0.07186058884851224,0.5816564596092155,700,84800,,2150
5,1,SGD,0.03298245614035088,0.03298245614035088,0.07801108194808982,94,2756,,2756
5,3,SGD,0.06947368421052631,0.04842105263157894,0.15339749198016914,198,8352,,2652
5,10,SGD,0.1456140350877193,0.061090086326928424,0.31671041119860016,415,28085,,2435
5,20,SGD,0.20526315789473684,0.06511396447594915,0.4626713327500729,585,56415,,2265
5,30,SGD,0.24385964912280703,0.06667029593879578,0.5781568970545349,695,84805,,2155
