regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,4.621062
3e-09,1e-09,40,0.99,4.165612
3e-07,1e-08,40,0.9,4.94117
1e-06,1e-08,40,0.95,4.712744
3e-07,1e-08,40,0.95,4.3838989999999995
3e-09,1e-06,40,0.99,3.821311
3e-10,3e-09,40,0.9,4.504829
1e-10,1e-08,40,0.95,3.970549
1e-06,1e-08,40,0.9,4.183213
3e-07,3e-08,40,0.9,4.489694
1e-07,1e-06,40,0.99,4.006455
3e-06,1e-08,40,0.95,3.639977
1e-09,1e-07,40,0.9,3.180683
1e-08,3e-06,40,0.99,3.15027
3e-06,1e-08,40,0.9,3.41278
3e-09,3e-06,40,0.9,3.262244
3e-06,1e-07,40,0.99,3.373848
1e-10,3e-10,40,0.9,3.094079
3e-07,3e-07,40,0.99,3.12452
1e-07,3e-06,40,0.9,3.208665
3e-10,1e-08,40,0.9,3.125817
3e-07,3e-10,40,0.99,3.079334
1e-10,3e-09,40,0.9,3.002817
3e-07,3e-09,40,0.99,2.92775
3e-09,3e-08,40,0.9,3.157799
1e-06,3e-10,40,0.95,3.208873
1e-06,3e-10,40,0.9,3.160711
1e-07,1e-10,40,0.9,3.159192
1e-07,3e-07,40,0.95,3.24419
3e-07,3e-06,40,0.99,3.047616
1e-10,3e-06,40,0.9,3.111058
3e-06,1e-10,40,0.95,3.293644
1e-07,3e-07,40,0.99,3.117298
3e-09,3e-10,40,0.99,3.11931
1e-08,3e-10,40,0.99,3.162531
3e-08,1e-07,40,0.99,3.174814
3e-10,1e-10,40,0.99,3.140377
1e-08,3e-09,40,0.9,3.193358
1e-08,3e-09,40,0.95,3.216978
3e-06,1e-06,40,0.9,3.538665
1e-10,1e-06,40,0.9,3.155379
1e-09,1e-08,40,0.9,3.132363
1e-09,3e-08,40,0.95,3.085805
1e-09,3e-08,40,0.9,3.085406
1e-09,3e-06,40,0.9,3.13843
3e-09,1e-07,40,0.9,3.176492
3e-08,3e-09,40,0.95,3.12061
1e-07,1e-07,40,0.9,3.154867
1e-06,1e-10,40,0.95,3.170121
1e-07,1e-09,40,0.9,3.151199
1e-08,3e-08,40,0.95,3.129718
1e-08,3e-08,40,0.99,2.930677
1e-09,1e-10,40,0.9,2.946116
1e-10,1e-09,40,0.95,2.933585
3e-09,1e-08,40,0.99,2.964136
3e-06,3e-09,40,0.99,3.451498
3e-06,3e-09,40,0.9,3.290229
3e-06,3e-07,40,0.95,2.894443
3e-06,3e-10,40,0.9,3.3862069999999997
1e-09,3e-09,40,0.9,3.091264
