regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,0.02547159565580618
3e-09,1e-09,40,0.99,0.02964090782511835
3e-07,1e-08,40,0.9,0.03122027290448343
1e-06,1e-08,40,0.95,0.03516026176552492
3e-07,1e-08,40,0.95,0.031071707045391254
3e-09,1e-06,40,0.99,0.027323447507658034
3e-10,3e-09,40,0.9,0.029250069618490672
1e-10,1e-08,40,0.95,0.030343776106934
1e-06,1e-08,40,0.9,0.031922584238373714
3e-07,3e-08,40,0.9,0.0335735171261487
1e-07,1e-06,40,0.99,0.02668504594820384
3e-06,1e-08,40,0.95,0.04683430799220273
1e-09,1e-07,40,0.9,0.028876218323586743
1e-08,3e-06,40,0.99,0.03167153996101364
3e-06,1e-08,40,0.9,0.04584809245335561
3e-09,3e-06,40,0.9,0.028870231133389025
3e-06,1e-07,40,0.99,0.048792954608744075
1e-10,3e-10,40,0.9,0.02836647173489279
3e-07,3e-07,40,0.99,0.03266819827346143
1e-07,3e-06,40,0.9,0.02733583959899749
3e-10,1e-08,40,0.9,0.02875341130604288
3e-07,3e-10,40,0.99,0.03285895293790031
1e-10,3e-09,40,0.9,0.028927318295739347
3e-07,3e-09,40,0.99,0.0255026455026455
3e-09,3e-08,40,0.9,0.025075327206906153
1e-06,3e-10,40,0.95,0.03341604010025062
1e-06,3e-10,40,0.9,0.03642759676970203
1e-07,1e-10,40,0.9,0.029419938735728207
1e-07,3e-07,40,0.95,0.024857839042049565
3e-07,3e-06,40,0.99,0.030885407964355332
1e-10,3e-06,40,0.9,0.028839598997493734
3e-06,1e-10,40,0.95,0.0407422723475355
1e-07,3e-07,40,0.99,0.027641186299081036
3e-09,3e-10,40,0.99,0.031163185742133108
1e-08,3e-10,40,0.99,0.02796825396825397
3e-08,1e-07,40,0.99,0.02977861319966583
3e-10,1e-10,40,0.99,0.028023809523809524
1e-08,3e-09,40,0.9,0.029825396825396824
1e-08,3e-09,40,0.95,0.029784600389863546
3e-06,1e-06,40,0.9,0.04455917571707045
1e-10,1e-06,40,0.9,0.027306878306878307
1e-09,1e-08,40,0.9,0.02830186577554998
1e-09,3e-08,40,0.95,0.030547479810637705
1e-09,3e-08,40,0.9,0.02560359231411863
1e-09,3e-06,40,0.9,0.028678223336118067
3e-09,1e-07,40,0.9,0.029287663603453074
3e-08,3e-09,40,0.95,0.03076023391812865
1e-07,1e-07,40,0.9,0.028763157894736838
1e-06,1e-10,40,0.95,0.03373294346978557
1e-07,1e-09,40,0.9,0.03071707045391256
1e-08,3e-08,40,0.95,0.028403787245892504
1e-08,3e-08,40,0.99,0.027635059871901978
1e-09,1e-10,40,0.9,0.025973127262600947
1e-10,1e-09,40,0.95,0.027959064327485378
3e-09,1e-08,40,0.99,0.028997354497354497
3e-06,3e-09,40,0.99,0.046036897800055696
3e-06,3e-09,40,0.9,0.04212614870509607
3e-06,3e-07,40,0.95,0.048048175995544416
3e-06,3e-10,40,0.9,0.0462943469785575
1e-09,3e-09,40,0.9,0.03165497076023392
