rank,SGD
1,0.05652951824004455
5,0.06108618769145085
15,0.06087204121414647
30,0.05900389863547758
50,0.041260790866054026
75,0.017765107212475633
100,0.06171595655806182
150,0.040392509050403785
200,0.06302589807852965
250,0.03452158173210805
300,0.05829977722082985
400,0.06461681982734614
500,0.060472013366750205
750,0.05941631857421331
1000,0.05935282651072124
1250,0.049691311612364245
1500,0.04761988304093567
1750,0.04737385129490392
2000,0.06486563631300474
2500,0.06048969646338067
3000,0.06015873015873016
