type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD(cs),0.017511520737327188,0.017511520737327188,0.04692737430167598,57,3198,,3198
1,1,SIM(cs),0.016589861751152075,0.016589861751152075,0.05460893854748603,54,3201,,3201
1,1,MP(cs),0.002457757296466974,0.002457757296466974,0.00013966480446927373,8,3247,,3247
1,1,RND(cs),0.0,0.0,0.3668994413407821,0,3255,,3255
1,3,PureSVD(cs),0.035637480798771125,0.02560163850486431,0.061033519553072624,116,9649,,3139
1,3,SIM(cs),0.034101382488479264,0.024372759856630823,0.12220670391061453,111,9654,,3144
1,3,MP(cs),0.007987711213517665,0.004761904761904762,0.0004189944134078212,26,9739,,3229
1,3,RND(cs),0.0,0.0,0.7455307262569832,0,9765,,3255
1,10,PureSVD(cs),0.0771121351766513,0.03245056445517275,0.08128491620111732,251,32299,,3004
1,10,SIM(cs),0.07526881720430108,0.03125228586058079,0.2685754189944134,245,32071,,3010
1,10,MP(cs),0.025499231950844855,0.007435447297198449,0.0013966480446927375,83,32467,,3172
1,10,RND(cs),0.0009216589861751152,0.00012800819252432156,0.9891061452513966,3,32547,,3252
1,20,PureSVD(cs),0.10506912442396313,0.03437550103776866,0.1020949720670391,342,64758,,2913
1,20,SIM(cs),0.12104454685099847,0.03441510296270536,0.4020949720670391,394,63741,,2861
1,20,MP(cs),0.04639016897081413,0.00885631256973512,0.002793296089385475,151,64949,,3104
1,20,RND(cs),0.0018433179723502304,0.00019109794455416575,1.0,6,65094,,3249
1,30,PureSVD(cs),0.12903225806451613,0.035353495044363574,0.12164804469273743,420,97230,,2835
1,30,SIM(cs),0.15391705069124423,0.035721681175669096,0.49553072625698324,501,95118,,2754
1,30,MP(cs),0.06758832565284179,0.00969887525535554,0.004189944134078212,220,97430,,3035
1,30,RND(cs),0.0030721966205837174,0.00024339843464267426,1.0,10,97640,,3245
2,1,PureSVD(cs),0.01505838967424708,0.015058389674247078,0.04790502793296089,49,3205,,3205
2,1,SIM(cs),0.011370620774431468,0.011370620774431468,0.056843575418994416,37,3217,,3217
2,1,MP(cs),0.003995082974800246,0.003995082974800245,0.00013966480446927373,13,3241,,3241
2,1,RND(cs),0.0,0.0,0.3668994413407821,0,3254,,3254
2,3,PureSVD(cs),0.03718500307314075,0.024738783036263055,0.05921787709497207,121,9641,,3133
2,3,SIM(cs),0.03380454824830977,0.02094857611145257,0.12946927374301676,110,9652,,3144
2,3,MP(cs),0.007068223724646589,0.005224339274738782,0.0004189944134078212,23,9739,,3231
2,3,RND(cs),0.0006146281499692685,0.00030731407498463427,0.7452513966480447,2,9760,,3252
2,10,PureSVD(cs),0.07959434542102028,0.03189895708334553,0.08226256983240224,259,32281,,2995
2,10,SIM(cs),0.08174554394591273,0.028780085072340755,0.27304469273743015,266,32006,,2988
2,10,MP(cs),0.023355869698832205,0.007701266329108983,0.0013966480446927375,76,32464,,3178
2,10,RND(cs),0.0018438844499078057,0.0005202388269382737,0.9891061452513966,6,32534,,3248
2,20,PureSVD(cs),0.11155500921942225,0.034091486727822855,0.10377094972067039,363,64717,,2891
2,20,SIM(cs),0.12138905961893055,0.03150905579688158,0.40041899441340784,395,63549,,2859
2,20,MP(cs),0.041180086047940996,0.0089120956136142,0.002793296089385475,134,64946,,3120
2,20,RND(cs),0.0036877688998156115,0.0006582524180298578,1.0,12,65068,,3242
2,30,PureSVD(cs),0.13491087891825446,0.035020140701182964,0.12430167597765363,439,97181,,2815
2,30,SIM(cs),0.15119852489244007,0.03272274076797412,0.49120111731843574,492,94756,,2762
2,30,MP(cs),0.06330669944683466,0.009824833648703783,0.004189944134078212,206,97414,,3048
2,30,RND(cs),0.004609711124769515,0.0006941502650498021,1.0,15,97605,,3239
3,1,PureSVD(cs),0.01597542242703533,0.01597542242703533,0.04664804469273743,52,3203,,3203
3,1,SIM(cs),0.013210445468509985,0.013210445468509985,0.05628491620111732,43,3212,,3212
3,1,MP(cs),0.0027649769585253456,0.0027649769585253456,0.00013966480446927373,9,3246,,3246
3,1,RND(cs),0.00030721966205837174,0.00030721966205837174,0.3668994413407821,1,3254,,3254
3,3,PureSVD(cs),0.034101382488479264,0.02345110087045571,0.059916201117318435,111,9654,,3144
3,3,SIM(cs),0.030107526881720432,0.020225294418842805,0.12835195530726257,98,9667,,3157
3,3,MP(cs),0.006144393241167435,0.004301075268817204,0.0004189944134078212,20,9745,,3235
3,3,RND(cs),0.0006144393241167435,0.0004608294930875576,0.7455307262569832,2,9763,,3253
3,10,PureSVD(cs),0.07649769585253456,0.030511788944968667,0.08184357541899441,249,32301,,3006
3,10,SIM(cs),0.07588325652841782,0.027543096091483185,0.27458100558659215,247,32058,,3008
3,10,MP(cs),0.021505376344086023,0.006658498524857972,0.0013966480446927375,70,32480,,3185
3,10,RND(cs),0.0009216589861751152,0.0004992319508448541,0.9891061452513966,3,32547,,3252
3,20,PureSVD(cs),0.11274961597542242,0.03306972603365864,0.10474860335195531,367,64733,,2888
3,20,SIM(cs),0.12073732718894009,0.030557625346578278,0.4083798882681564,393,63690,,2862
3,20,MP(cs),0.04423963133640553,0.008153347508257554,0.002793296089385475,144,64956,,3111
3,20,RND(cs),0.0027649769585253456,0.0006290273268201961,1.0,9,65091,,3246
3,30,PureSVD(cs),0.13333333333333333,0.03390063805713106,0.12108938547486034,434,97216,,2821
3,30,SIM(cs),0.15821812596006143,0.03204357818586367,0.5043296089385475,515,95132,,2740
3,30,MP(cs),0.06175115207373272,0.008845448331334363,0.004189944134078212,201,97449,,3054
3,30,RND(cs),0.0039938556067588326,0.0006793402217223171,1.0,13,97637,,3242
4,1,PureSVD(cs),0.012599877074370006,0.012599877074370004,0.04748603351955307,41,3213,,3213
4,1,SIM(cs),0.014443761524277812,0.01444376152427781,0.05698324022346369,47,3207,,3207
4,1,MP(cs),0.0021511985248924403,0.00215119852489244,0.00013966480446927373,7,3247,,3247
4,1,RND(cs),0.00030731407498463427,0.00030731407498463427,0.3668994413407821,1,3253,,3253
