rank,PureSVD(cs)
1,0.006680808524126496
5,0.011952185892278058
10,0.015144100651013093
15,0.013564113817570039
20,0.015305756711286665
30,0.01563114134542706
50,0.020132640869968056
60,0.020747445931777728
75,0.021398337112622824
100,0.023224709238534123
125,0.02397434959646941
150,0.02506266305805476
200,0.02682003267256723
250,0.028875112769121983
300,0.030211884036768825
350,0.031505863994343256
400,0.03245056445517275
500,0.0320805598224953
750,0.031289225367566384
1000,0.030611147684880404
1250,0.029266939750810718
1500,0.02955465340257967
1750,0.027773632750591276
2000,0.026272645258820372
