rank,PureSVD
1,0.006287687328190122
5,0.010018732819012149
10,0.01115406358073956
15,0.010022058171499513
20,0.010495920900948835
30,0.00940243415802075
50,0.012904861665336526
60,0.012977465194643965
75,0.015188270373326238
100,0.017781491088055334
125,0.0199122106943336
150,0.02319267092311785
200,0.02108522878425113
250,0.01923079054713133
300,0.021106843575418994
350,0.02067537909018356
400,0.022194788064201474
500,0.02053044914427596
750,0.022843786024651945
1000,0.023489735745322336
1250,0.02811474682983063
1500,0.026631916733173715
1750,0.023422674470160505
2000,0.022781435665513876
