type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM(cs),0.011981566820276499,0.011981566820276499,0.20991620111731843,39,3216,,3216
1,3,FM(cs),0.03317972350230415,0.020583717357910907,0.43589385474860337,108,9657,,3147
1,10,FM(cs),0.07834101382488479,0.0279318752590642,0.7527932960893855,255,32295,,3000
1,20,FM(cs),0.10291858678955453,0.02961166046883186,0.8828212290502794,335,64765,,2920
1,30,FM(cs),0.12565284178187405,0.030529652304553772,0.9287709497206704,409,97241,,2846
2,1,FM(cs),0.00921942224953903,0.009219422249539026,0.2041899441340782,30,3224,,3224
2,3,FM(cs),0.026121696373693916,0.016133988936693298,0.4319832402234637,85,9677,,3169
2,10,FM(cs),0.07314074984634296,0.023634525516824226,0.7526536312849162,238,32302,,3016
2,20,FM(cs),0.10540872771972956,0.02584510724422117,0.8801675977653631,343,64737,,2911
2,30,FM(cs),0.1272280270436386,0.02671076837893186,0.9294692737430168,414,97206,,2840
3,1,FM(cs),0.010138248847926268,0.010138248847926266,0.2036312849162011,33,3222,,3222
3,3,FM(cs),0.026113671274961597,0.016743471582181257,0.4273743016759777,85,9680,,3170
3,10,FM(cs),0.07035330261136713,0.023919367029966106,0.7441340782122905,229,32321,,3026
3,20,FM(cs),0.10076804915514594,0.02593881351243209,0.8797486033519553,328,64772,,2927
3,30,FM(cs),0.12442396313364056,0.02687695057100663,0.9312849162011173,405,97245,,2850
4,1,FM(cs),0.01290719114935464,0.012907191149354638,0.2037709497206704,42,3212,,3212
4,3,FM(cs),0.03165334972341733,0.02074370006146281,0.42248603351955305,103,9659,,3151
4,10,FM(cs),0.0654578979717271,0.026268158359430638,0.7431564245810056,213,32327,,3041
4,20,FM(cs),0.09711124769514444,0.028504177091697856,0.8793296089385475,316,64764,,2938
4,30,FM(cs),0.12200368776889982,0.029518597581032854,0.9321229050279329,397,97223,,2857
5,1,FM(cs),0.013517665130568356,0.013517665130568356,0.2036312849162011,44,3211,,3211
5,3,FM(cs),0.0325652841781874,0.021300563236047107,0.42849162011173186,106,9659,,3149
5,10,FM(cs),0.06943164362519201,0.02733121205471436,0.7490223463687151,226,32324,,3029
5,20,FM(cs),0.10261136712749616,0.02966934183648883,0.8773743016759776,334,64766,,2921
5,30,FM(cs),0.12073732718894009,0.030406995104503648,0.9261173184357542,393,97257,,2862
